Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,27.530001,27.809999,27.51,27.780001,4334900,27.780001
2012-12-28,27.67,27.719999,27.549999,27.629999,1542300,27.629999
2012-12-27,27.67,27.75,27.59,27.709999,1973500,27.709999
2012-12-26,27.709999,27.809999,27.620001,27.709999,1077900,27.709999
2012-12-24,27.42,27.450001,27.35,27.43,1091900,27.43
2012-12-21,27.48,27.559999,27.43,27.52,1932700,27.52
2012-12-20,27.51,27.65,27.50,27.57,1829300,27.57
2012-12-19,27.639999,27.75,27.60,27.700001,1644600,27.700001
2012-12-18,27.540001,27.67,27.51,27.60,1583400,27.60
2012-12-17,27.530001,27.60,27.50,27.530001,1235700,27.530001
2012-12-14,27.43,27.59,27.42,27.549999,1641900,27.549999
2012-12-13,27.440001,27.49,27.299999,27.379999,1420800,27.379999
2012-12-12,27.68,27.75,27.52,27.629999,2672400,27.629999
2012-12-11,27.540001,27.559999,27.41,27.50,1943600,27.50
2012-12-10,27.629999,27.65,27.49,27.549999,1194300,27.549999
2012-12-07,27.65,27.700001,27.52,27.610001,2812600,27.610001
2012-12-06,27.709999,27.76,27.57,27.639999,1621900,27.639999
2012-12-05,27.940001,27.99,27.77,27.889999,1091700,27.889999
2012-12-04,27.940001,28.00,27.860001,27.92,1844900,27.92
2012-12-03,28.360001,28.379999,28.129999,28.17,2527400,28.17
2012-11-30,28.10,28.190001,28.040001,28.10,2626000,28.10
2012-11-29,28.120001,28.17,28.01,28.08,1092300,28.08
2012-11-28,27.620001,27.91,27.620001,27.889999,1733600,27.889999
2012-11-27,28.01,28.08,27.879999,27.98,1531700,27.98
2012-11-26,28.00,28.040001,27.940001,28.02,2169400,28.02
2012-11-23,27.879999,28.120001,27.879999,28.059999,828700,28.059999
2012-11-21,27.889999,27.959999,27.74,27.959999,1259400,27.959999
2012-11-20,27.91,27.99,27.67,27.84,1148000,27.84
2012-11-19,27.85,28.08,27.85,28.030001,2080400,28.030001
2012-11-16,27.450001,27.530001,27.299999,27.51,1450900,27.51
2012-11-15,27.629999,27.67,27.33,27.389999,1668400,27.389999
2012-11-14,27.51,27.719999,27.48,27.50,1166600,27.50
2012-11-13,27.32,27.530001,27.309999,27.42,1524500,27.42
2012-11-12,27.59,27.690001,27.43,27.469999,1251000,27.469999
2012-11-09,27.33,27.66,27.309999,27.60,2791200,27.60
2012-11-08,27.370001,27.459999,27.25,27.379999,1124700,27.379999
2012-11-07,27.610001,27.639999,27.280001,27.34,1464500,27.34
2012-11-06,27.549999,27.93,27.50,27.860001,1425000,27.860001
2012-11-05,27.129999,27.389999,27.08,27.370001,2096800,27.370001
2012-11-02,27.58,27.60,27.120001,27.139999,1252200,27.139999
2012-11-01,27.66,27.75,27.610001,27.610001,3706800,27.610001
2012-10-31,27.620001,27.799999,27.51,27.559999,6853900,27.559999
2012-10-26,27.52,27.629999,27.459999,27.58,1361500,27.58
2012-10-25,27.620001,27.65,27.379999,27.52,1268700,27.52
2012-10-24,27.52,27.57,27.32,27.450001,1404000,27.450001
2012-10-23,27.530001,27.549999,27.34,27.530001,1933400,27.530001
2012-10-22,28.09,28.129999,27.799999,27.870001,1301000,27.870001
2012-10-19,28.48,28.50,28.00,28.00,1623500,28.00
2012-10-18,28.25,28.48,28.209999,28.43,1930500,28.43
2012-10-17,28.459999,28.51,28.33,28.440001,1258200,28.440001
2012-10-16,28.42,28.49,28.34,28.43,1157700,28.43
2012-10-15,28.370001,28.43,28.18,28.41,1350200,28.41
2012-10-12,28.709999,28.76,28.469999,28.549999,1238300,28.549999
2012-10-11,28.860001,29.00,28.76,28.950001,975700,28.950001
2012-10-10,28.67,28.82,28.559999,28.620001,2341000,28.620001
2012-10-09,28.559999,28.780001,28.549999,28.67,1360400,28.67
2012-10-08,28.42,28.51,28.370001,28.459999,1075800,28.459999
2012-10-05,28.65,28.65,28.389999,28.540001,1006500,28.540001
2012-10-04,28.41,28.74,28.32,28.690001,1251600,28.690001
2012-10-03,28.299999,28.700001,28.059999,28.08,2234000,28.08
2012-10-02,28.68,28.700001,28.559999,28.57,1393200,28.57
2012-10-01,28.85,28.950001,28.59,28.719999,6122000,28.719999
2012-09-28,28.610001,28.780001,28.549999,28.68,5470600,28.68
2012-09-27,28.389999,28.540001,28.309999,28.51,1759300,28.51
2012-09-26,28.18,28.200001,27.950001,28.16,1892400,28.16
2012-09-25,28.540001,28.59,28.33,28.360001,1354400,28.360001
2012-09-24,28.299999,28.360001,28.200001,28.33,1786700,28.33
2012-09-21,28.57,28.67,28.51,28.629999,2142400,28.629999
2012-09-20,28.26,28.440001,28.200001,28.440001,1676500,28.440001
2012-09-19,28.60,28.620001,28.190001,28.280001,4359800,28.280001
2012-09-18,28.959999,29.030001,28.639999,28.700001,3701500,28.700001
2012-09-17,29.540001,29.559999,28.75,28.91,3610500,28.91
2012-09-14,29.709999,29.860001,29.67,29.73,3026800,29.73
2012-09-13,29.360001,29.459999,29.059999,29.42,2082500,29.42
2012-09-12,29.129999,29.23,29.07,29.219999,1264800,29.219999
2012-09-11,29.129999,29.15,29.040001,29.07,1769800,29.07
2012-09-10,29.00,29.139999,28.959999,29.01,2223700,29.01
2012-09-07,28.790001,29.02,28.66,28.969999,2027200,28.969999
