Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,50.610001,50.82,50.540001,50.73,1111600,47.587907
2013-12-30,50.32,50.529999,50.32,50.529999,1598100,47.400293
2013-12-27,50.419998,50.419998,50.220001,50.27,970200,47.156399
2013-12-26,50.049999,50.099998,49.990002,50.07,1421300,46.968786
2013-12-24,49.75,49.889999,49.66,49.860001,866000,46.771793
2013-12-23,49.50,49.799999,49.50,49.77,936900,46.687368
2013-12-20,49.18,49.400002,49.16,49.290001,1111900,46.237098
2013-12-19,49.34,49.549999,49.220001,49.48,1101600,46.052298
2013-12-18,49.220001,49.779999,48.709999,49.59,1880400,46.154678
2013-12-17,49.080002,49.080002,48.779999,48.889999,718500,45.50317
2013-12-16,49.150002,49.25,49.060001,49.099998,812700,45.698621
2013-12-13,48.779999,48.82,48.59,48.75,1082700,45.372869
2013-12-12,48.98,48.98,48.630001,48.77,1477900,45.391484
2013-12-11,49.75,49.75,49.060001,49.09,884500,45.689316
2013-12-10,49.68,49.73,49.57,49.700001,812500,46.257059
2013-12-09,49.790001,49.82,49.669998,49.759998,1432900,46.3129
2013-12-06,49.580002,49.790001,49.490002,49.73,754700,46.284979
2013-12-05,49.299999,49.310001,49.060001,49.09,531300,45.689316
2013-12-04,49.200001,49.419998,49.00,49.349998,974600,45.931303
2013-12-03,49.75,49.759998,49.419998,49.580002,694900,46.145373
2013-12-02,50.200001,50.209999,49.700001,49.700001,1323500,46.257059
2013-11-29,50.509998,50.560001,50.349998,50.389999,809000,46.899258
2013-11-27,50.23,50.259998,50.110001,50.209999,681000,46.731727
2013-11-26,50.00,50.099998,49.889999,50.009998,699700,46.545581
2013-11-25,50.310001,50.310001,49.990002,50.029999,744300,46.564196
2013-11-22,50.139999,50.32,50.09,50.290001,1484200,46.806187
2013-11-21,50.049999,50.139999,49.939999,50.139999,705000,46.666577
2013-11-20,50.400002,50.43,49.830002,49.939999,1172600,46.480431
2013-11-19,50.389999,50.439999,50.189999,50.259998,711500,46.778263
2013-11-18,50.66,50.709999,50.380001,50.43,862800,46.936488
2013-11-15,50.150002,50.380001,50.150002,50.34,667500,46.852723
2013-11-14,49.560001,49.880001,49.470001,49.880001,929300,46.42459
2013-11-13,49.099998,49.57,49.00,49.549999,1016600,46.117449
2013-11-12,49.50,49.560001,49.259998,49.380001,653100,45.959227
2013-11-11,49.630001,49.630001,49.52,49.540001,735400,46.108143
2013-11-08,49.27,49.610001,49.189999,49.59,1968300,46.154678
2013-11-07,50.040001,50.040001,49.299999,49.380001,871800,45.959227
2013-11-06,50.189999,50.27,50.09,50.150002,748900,46.675886
2013-11-05,49.830002,49.860001,49.57,49.77,869300,46.322209
2013-11-04,50.200001,50.240002,50.02,50.240002,698100,46.759651
2013-11-01,50.040001,50.119999,49.779999,50.02,989800,46.554891
2013-10-31,50.50,50.529999,50.220001,50.220001,1079000,46.741036
2013-10-30,50.77,50.799999,50.27,50.52,715300,47.020253
2013-10-29,50.540001,50.700001,50.540001,50.689999,654000,47.178475
2013-10-28,50.52,50.650002,50.439999,50.560001,651400,47.057483
2013-10-25,50.57,50.580002,50.43,50.57,570600,47.066789
2013-10-24,50.700001,50.700001,50.50,50.610001,724400,47.104019
2013-10-23,50.529999,50.529999,50.299999,50.419998,754500,46.927179
2013-10-22,50.73,51.130001,50.73,51.00,1235600,47.467001
2013-10-21,50.529999,50.59,50.419998,50.549999,1670900,47.048174
2013-10-18,50.419998,50.560001,50.310001,50.529999,1542300,47.029559
2013-10-17,49.849998,50.259998,49.810001,50.23,1405400,46.750342
2013-10-16,49.48,49.720001,49.419998,49.669998,877100,46.229135
2013-10-15,49.41,49.450001,49.220001,49.25,1115000,45.838232
2013-10-14,49.169998,49.610001,49.110001,49.540001,527900,46.108143
2013-10-11,49.139999,49.419998,49.049999,49.419998,737900,45.996453
2013-10-10,48.740002,49.200001,48.619999,49.150002,1504500,45.74516
2013-10-09,48.18,48.349998,47.93,48.240002,1670500,44.8982
2013-10-08,48.490002,48.540001,48.00,48.040001,943100,44.712055
2013-10-07,48.290001,48.610001,48.259998,48.419998,596800,45.065728
2013-10-04,48.580002,48.860001,48.560001,48.82,740500,45.438019
2013-10-03,48.91,48.919998,48.50,48.66,1061400,45.289103
2013-10-02,48.720001,48.91,48.509998,48.880001,903100,45.493864
2013-10-01,48.669998,48.950001,48.599998,48.91,2060000,45.521785
2013-09-30,48.450001,48.689999,48.32,48.599998,1698100,45.233259
2013-09-27,48.91,49.009998,48.84,48.91,862900,45.521785
2013-09-26,49.099998,49.240002,48.959999,49.119999,869500,45.717236
2013-09-25,48.900002,49.119999,48.84,48.919998,1343800,45.53109
2013-09-24,49.029999,49.139999,48.810001,48.919998,1788700,45.53109
2013-09-23,49.09,49.139999,48.880001,49.040001,929400,45.64278
2013-09-20,49.650002,49.650002,49.23,49.240002,912500,45.623237
2013-09-19,49.990002,49.990002,49.610001,49.669998,1701600,46.02165
2013-09-18,48.68,50.099998,48.52,50.099998,1334100,46.420066
2013-09-17,48.57,48.669998,48.509998,48.669998,985300,45.095101
2013-09-16,48.860001,48.889999,48.560001,48.57,1227000,45.002448
2013-09-13,47.98,48.209999,47.93,48.209999,1122700,44.66889
2013-09-12,48.119999,48.209999,47.970001,47.990002,1204100,44.465052
2013-09-11,48.040001,48.32,47.950001,48.299999,1291100,44.752279
2013-09-10,48.060001,48.169998,47.93,48.119999,1352700,44.5855
2013-09-09,47.279999,47.689999,47.200001,47.68,844900,44.17782
2013-09-06,46.860001,47.040001,46.549999,46.860001,1461600,43.418051
2013-09-05,46.369999,46.66,46.369999,46.610001,615900,43.186414
2013-09-04,46.040001,46.560001,46.029999,46.490002,837600,43.075229
2013-09-03,46.23,46.41,45.939999,46.099998,1391300,42.713873
2013-08-30,45.720001,45.720001,45.310001,45.380001,1031600,42.04676
2013-08-29,45.650002,45.919998,45.650002,45.700001,1148100,42.343255
2013-08-28,45.549999,45.91,45.48,45.669998,1763500,42.315457
2013-08-27,46.029999,46.150002,45.709999,45.720001,942000,42.361787
2013-08-26,46.73,46.790001,46.50,46.540001,1295000,43.121556
2013-08-23,46.84,46.889999,46.580002,46.84,735900,43.39952
2013-08-22,46.25,46.549999,46.25,46.470001,809300,43.056698
2013-08-21,46.34,46.380001,45.830002,45.990002,1183200,42.611955
2013-08-20,46.529999,46.77,46.450001,46.610001,684200,43.186414
2013-08-19,47.150002,47.150002,46.68,46.689999,814100,43.260536
2013-08-16,47.169998,47.290001,47.099998,47.139999,742400,43.677484
2013-08-15,46.990002,47.16,46.639999,47.110001,1243400,43.649688
2013-08-14,47.50,47.560001,47.43,47.470001,900300,43.983246
2013-08-13,47.310001,47.490002,47.07,47.459999,974900,43.973979
2013-08-12,47.040001,47.209999,47.00,47.119999,755700,43.658952
2013-08-09,47.049999,47.25,46.98,47.150002,880700,43.686751
2013-08-08,46.860001,47.119999,46.709999,47.07,1039000,43.612625
2013-08-07,46.560001,46.68,46.50,46.540001,956400,43.121556
2013-08-06,47.049999,47.060001,46.709999,46.830002,801400,43.390256
2013-08-05,46.98,47.009998,46.84,46.98,842900,43.529236
2013-08-02,46.900002,47.18,46.860001,47.130001,1371400,43.66822
2013-08-01,46.82,46.98,46.740002,46.900002,2157300,43.455114
2013-07-31,46.220001,46.610001,46.130001,46.299999,942400,42.899183
2013-07-30,46.540001,46.540001,46.169998,46.25,693400,42.852856
2013-07-29,46.419998,46.439999,46.259998,46.34,573600,42.936246
2013-07-26,46.650002,46.77,46.369999,46.77,1480400,43.334662
2013-07-25,46.619999,47.029999,46.560001,47.009998,906700,43.557031
2013-07-24,47.23,47.23,46.740002,46.880001,739100,43.436583
2013-07-23,47.119999,47.189999,46.950001,47.080002,792700,43.621893
