Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,32.50,33.919998,32.209999,33.880001,4366200,32.332565
2008-12-30,33.00,33.049999,32.310001,33.00,4096000,31.492757
2008-12-29,33.169998,33.509998,32.450001,33.029999,5369300,31.521386
2008-12-26,30.959999,32.52,30.18,32.25,2961500,30.777013
2008-12-24,30.780001,31.00,29.799999,30.59,1289200,29.192832
2008-12-23,29.92,30.969999,29.58,30.74,3648400,29.33598
2008-12-22,31.290001,31.809999,29.290001,29.83,4573100,28.467544
2008-12-19,29.219999,30.620001,28.959999,30.58,9190300,29.183288
2008-12-18,31.82,32.040001,29.07,29.84,9491900,28.477087
2008-12-17,32.779999,33.869999,31.74,32.110001,10521200,30.643408
2008-12-16,32.34,32.419998,29.870001,32.34,11269900,30.862902
2008-12-15,29.65,30.85,29.27,30.34,7198800,28.95425
2008-12-12,27.52,29.16,27.139999,28.67,7272700,27.360526
2008-12-11,28.92,29.91,27.370001,28.02,11312400,26.740214
2008-12-10,27.09,28.450001,26.98,28.129999,10461900,26.845189
2008-12-09,24.98,26.17,24.52,25.41,5868300,24.249423
2008-12-08,25.00,25.889999,24.610001,25.26,7784000,24.106274
2008-12-05,22.889999,23.42,21.200001,23.23,7252900,22.168992
2008-12-04,23.90,24.780001,22.90,23.42,8322800,22.350314
2008-12-03,23.65,24.82,23.40,24.059999,6129200,22.961082
2008-12-02,23.889999,24.719999,23.700001,24.690001,8226600,23.562309
2008-12-01,24.780001,24.950001,22.50,22.50,8826700,21.472334
2008-11-28,26.33,26.709999,25.52,26.57,2678100,25.356441
2008-11-26,24.92,26.209999,24.41,26.110001,9035800,24.917452
2008-11-25,25.59,25.690001,23.65,25.690001,11000600,24.516635
2008-11-24,24.50,25.950001,24.24,24.629999,11438000,23.505048
2008-11-21,20.25,23.139999,19.67,23.030001,8971200,21.978128
2008-11-20,18.610001,19.450001,17.59,18.200001,7875900,17.368733
2008-11-19,19.950001,21.07,18.60,18.610001,9968300,17.760007
2008-11-18,19.879999,20.450001,19.129999,19.559999,6385100,18.666616
2008-11-17,20.35,20.93,19.370001,19.66,5998800,18.762049
2008-11-14,21.84,22.629999,20.459999,20.549999,6590800,19.611398
2008-11-13,19.60,21.75,17.790001,21.66,9645400,20.6707
2008-11-12,20.99,21.25,19.40,19.40,6160100,18.513924
2008-11-11,22.41,22.41,20.969999,21.639999,5562700,20.651613
2008-11-10,23.290001,23.709999,22.370001,23.15,4108000,22.092646
2008-11-07,21.73,22.83,21.209999,21.75,6304100,20.75659
2008-11-06,23.73,24.290001,21.01,21.93,9625700,20.928369
2008-11-05,23.60,24.719999,22.98,23.50,6821500,22.42666
2008-11-04,22.360001,24.42,22.219999,23.90,10658000,22.80839
2008-11-03,20.969999,22.049999,20.969999,21.01,5729300,20.050389
2008-10-31,21.379999,21.879999,20.780001,20.950001,4134300,19.99313
2008-10-30,21.889999,22.450001,19.950001,21.700001,6972900,20.708874
2008-10-29,19.17,21.309999,18.91,20.860001,8772700,19.90724
2008-10-28,17.16,19.309999,16.42,18.690001,5992000,17.836353
2008-10-27,18.00,18.34,16.33,16.370001,7306100,15.622317
2008-10-24,15.84,18.690001,15.83,17.799999,8507900,16.987002
2008-10-23,18.26,19.530001,16.799999,17.41,9348900,16.614815
2008-10-22,20.90,21.110001,18.110001,18.49,7410000,17.645487
2008-10-21,22.459999,23.200001,21.76,21.889999,4833100,20.890195
2008-10-20,22.32,24.190001,22.059999,24.190001,3919300,23.085146
2008-10-17,21.370001,24.209999,20.969999,21.690001,6352300,20.699331
2008-10-16,24.76,25.08,21.549999,22.200001,9989200,21.186037
2008-10-15,27.35,27.43,24.360001,24.360001,6690500,23.247381
2008-10-14,27.66,28.809999,26.84,27.389999,6050700,26.138988
2008-10-13,27.379999,28.469999,25.02,26.799999,6280300,25.575935
2008-10-10,30.059999,30.73,24.68,26.34,11151400,25.136946
2008-10-09,31.40,31.40,29.41,30.25,7924500,28.868361
2008-10-08,28.66,31.65,28.23,31.26,9537600,29.83223
2008-10-07,28.82,29.200001,26.93,27.379999,7163300,26.129444
2008-10-06,30.219999,30.629999,25.299999,27.90,9370300,26.625694
2008-10-03,28.75,30.940001,28.540001,29.049999,5121300,27.723169
2008-10-02,33.07,33.07,28.469999,28.950001,9200800,27.627738
2008-10-01,34.189999,35.490002,33.650002,33.77,5119600,32.227589
2008-09-30,33.990002,34.580002,33.400002,33.790001,3037200,32.246676
2008-09-29,35.290001,36.169998,33.540001,34.00,5882100,32.447083
2008-09-26,36.919998,37.82,35.240002,35.830002,4170900,34.193501
2008-09-25,37.150002,37.650002,36.029999,36.400002,3710600,34.737467
2008-09-24,37.779999,38.07,36.939999,37.389999,3309300,35.682248
2008-09-23,38.240002,38.240002,36.459999,37.18,5181200,35.48184
2008-09-22,36.18,38.73,36.16,38.09,8145700,36.350276
2008-09-19,33.810001,35.41,32.900002,35.200001,6476900,33.592275
2008-09-18,35.52,36.139999,33.259998,34.200001,11771700,32.637949
2008-09-17,30.889999,34.93,30.110001,34.099998,12870300,32.542514
2008-09-16,29.49,30.73,28.610001,30.549999,6140300,29.154658
2008-09-15,31.309999,32.00,29.74,30.33,6408600,28.944707
2008-09-12,29.700001,31.690001,29.00,31.25,10047700,29.822687
2008-09-11,28.799999,29.25,27.35,28.200001,7511200,26.911993
2008-09-10,28.58,29.10,27.43,29.08,8176700,27.751799
2008-09-09,30.15,30.15,27.889999,28.10,10857500,26.81656
2008-09-08,33.599998,33.599998,30.940001,30.940001,5001400,29.526846
2008-09-05,32.970001,33.299999,31.65,32.650002,4943900,31.158745
2008-09-04,34.09,34.389999,32.16,32.18,6152400,30.71021
2008-09-03,34.91,35.50,33.290001,33.57,4802900,32.036723
2008-09-02,35.650002,35.68,34.91,35.25,3745200,33.639991
2008-08-29,38.220001,38.220001,37.349998,37.639999,1674800,35.920829
2008-08-28,38.740002,38.880001,37.349998,37.919998,2831400,36.188039
2008-08-27,37.580002,38.200001,37.369999,37.799999,2169700,36.073521
2008-08-26,36.700001,37.66,36.68,37.02,2737200,35.329148
2008-08-25,37.32,37.939999,36.799999,37.049999,2120700,35.357777
2008-08-22,37.889999,38.040001,36.889999,37.490002,2740600,35.777682
2008-08-21,37.580002,38.50,37.450001,38.299999,5749500,36.550684
2008-08-20,36.150002,36.790001,35.459999,36.18,3062000,34.527514
2008-08-19,34.889999,36.509998,34.700001,36.139999,4109900,34.48934
2008-08-18,35.169998,35.810001,35.00,35.110001,4618800,33.506386
2008-08-15,35.00,35.220001,34.259998,34.459999,6607700,32.886072
2008-08-14,37.16,37.669998,35.830002,35.869999,3686600,34.231672
2008-08-13,35.84,37.66,35.799999,37.549999,6282300,35.83494
2008-08-12,35.02,35.75,34.380001,35.369999,6254000,33.754509
2008-08-11,36.52,36.759998,33.860001,34.43,9889200,32.857444
2008-08-08,38.00,38.00,36.279999,36.299999,5421900,34.642032
2008-08-07,39.439999,39.790001,38.560001,38.919998,2572300,37.142365
2008-08-06,38.939999,39.93,38.939999,39.209999,3680700,37.419121
2008-08-05,40.200001,40.259998,38.43,38.59,5147300,36.827439
2008-08-04,42.009998,42.610001,40.290001,40.849998,6436200,38.984215
2008-08-01,43.200001,44.060001,42.00,42.400002,3886000,40.463423
2008-07-31,44.360001,44.419998,43.290001,43.48,2290800,41.494093
2008-07-30,42.50,43.470001,41.720001,43.189999,5464500,41.217338
2008-07-29,44.549999,44.549999,43.169998,43.669998,3156000,41.675414
2008-07-28,44.630001,45.470001,44.00,44.610001,2224300,42.572482
2008-07-25,44.32,44.709999,43.34,44.259998,2446900,42.238466
2008-07-24,44.66,44.919998,43.310001,44.009998,3448300,41.999885
2008-07-23,46.720001,46.75,44.310001,44.57,4433700,42.534308
2008-07-22,48.900002,49.00,46.619999,47.00,2508000,44.853321
2008-07-21,48.169998,48.689999,47.25,48.689999,1699400,46.46613
2008-07-18,47.330002,48.110001,47.07,47.549999,1331500,45.378199
2008-07-17,48.209999,49.599998,47.150002,47.549999,2893400,45.378199
2008-07-16,49.919998,49.919998,47.869999,48.57,2379000,46.351612
2008-07-15,51.439999,51.84,48.91,49.599998,5033500,47.334567
2008-07-14,49.150002,50.939999,48.599998,50.84,2378700,48.517933
2008-07-11,47.959999,49.09,47.959999,48.709999,4021200,46.485217
2008-07-10,46.009998,47.099998,45.860001,46.669998,1885200,44.538391
2008-07-09,45.630001,47.049999,45.330002,45.360001,1883900,43.288227
2008-07-08,45.880001,45.880001,44.799999,45.549999,2949800,43.469547
2008-07-07,46.080002,46.599998,45.689999,46.25,1763500,44.137576
2008-07-03,47.84,47.84,46.43,47.07,1658800,44.920123
2008-07-02,49.50,49.50,47.98,48.139999,1783200,45.941252
2008-07-01,49.07,50.09,48.799999,49.529999,3006900,47.267764
2008-06-30,48.110001,49.169998,47.09,48.59,2067900,46.370699
2008-06-27,47.080002,48.700001,47.040001,48.290001,3392500,46.084402
2008-06-26,45.00,46.52,45.00,46.419998,3895200,44.29981
2008-06-25,43.990002,44.139999,42.790001,43.880001,2043300,41.875825
2008-06-24,44.220001,44.650002,43.849998,44.060001,1006800,42.047604
2008-06-23,43.080002,44.279999,42.869999,44.279999,1889000,42.257553
2008-06-20,44.049999,44.57,43.470001,43.84,2477800,41.837651
2008-06-19,44.75,45.110001,43.830002,44.049999,1767500,42.038058
2008-06-18,44.200001,44.41,43.799999,44.279999,1119000,42.257553
2008-06-17,43.59,44.389999,43.59,44.040001,866700,42.028517
2008-06-16,44.23,44.509998,43.57,43.650002,1048500,41.65633
2008-06-13,42.860001,43.259998,42.720001,43.150002,1303300,41.179167
2008-06-12,43.419998,43.459999,42.700001,43.18,2248900,41.207796
2008-06-11,44.549999,44.779999,44.009998,44.110001,1351000,42.095319
2008-06-10,45.689999,45.880001,44.040001,44.209999,3007500,42.19075
2008-06-09,46.639999,47.130001,46.27,46.650002,1169400,44.519308
2008-06-06,46.189999,47.25,46.189999,46.689999,1915200,44.557478
2008-06-05,44.41,45.830002,44.299999,45.790001,1560500,43.698587
2008-06-04,45.560001,45.59,44.599998,44.68,1528000,42.639285
2008-06-03,45.689999,46.610001,45.41,45.450001,1336800,43.374116
2008-06-02,46.00,46.75,45.950001,46.41,940100,44.290268
2008-05-30,45.59,46.139999,45.549999,46.02,1099900,43.918082
2008-05-29,45.849998,46.119999,45.130001,45.25,1856500,43.18325
2008-05-28,45.799999,46.98,45.59,46.959999,1478200,44.815147
2008-05-27,46.880001,47.139999,46.150002,46.439999,1977100,44.318897
2008-05-23,48.439999,48.830002,47.75,47.75,1630700,45.569065
2008-05-22,48.610001,49.07,47.619999,48.18,2708200,45.979426
2008-05-21,48.84,49.82,48.580002,48.700001,3507300,46.475676
2008-05-20,47.790001,48.849998,47.790001,48.720001,2474600,46.494763
2008-05-19,47.830002,48.16,47.25,47.560001,2845600,45.387745
2008-05-16,47.00,47.540001,46.849998,47.32,3520000,45.158705
2008-05-15,45.509998,46.360001,45.43,46.209999,2346100,44.099402
2008-05-14,45.290001,45.73,44.650002,44.68,1036800,42.639285
2008-05-13,45.310001,45.759998,44.669998,45.349998,1567700,43.278681
2008-05-12,45.990002,46.490002,45.41,45.98,2279100,43.879908
2008-05-09,46.439999,46.59,45.00,45.959999,2583600,43.860821
2008-05-08,44.880001,46.099998,44.880001,46.080002,2832200,43.975343
2008-05-07,44.439999,44.889999,44.16,44.490002,1128000,42.457964
2008-05-06,44.279999,45.32,44.279999,45.189999,1976200,43.125989
2008-05-05,43.84,44.27,43.630001,44.099998,1812700,42.085774
2008-05-02,42.709999,43.580002,42.66,43.18,1730000,41.207796
2008-05-01,42.75,43.049999,41.610001,42.650002,5422100,40.702004
2008-04-30,42.799999,43.779999,42.439999,43.599998,3816200,41.608611
2008-04-29,43.619999,43.630001,42.169998,42.529999,4684500,40.587483
2008-04-28,45.279999,45.900002,44.310001,44.310001,1800900,42.286185
2008-04-25,44.830002,45.330002,44.380001,45.330002,2262000,43.259598
2008-04-24,45.900002,45.900002,44.169998,44.310001,4098500,42.286185
2008-04-23,47.349998,47.450001,46.080002,46.25,2760100,44.137576
2008-04-22,48.369999,49.23,47.970001,48.130001,1737200,45.93171
2008-04-21,49.599998,49.639999,48.220001,48.720001,1842800,46.494763
2008-04-18,49.50,49.700001,48.82,49.299999,2945600,47.04827
2008-04-17,51.119999,51.259998,50.389999,50.810001,1292300,48.489304
2008-04-16,49.919998,51.450001,49.919998,51.43,2944600,49.080985
2008-04-15,48.68,49.099998,48.560001,49.099998,1178600,46.857404
2008-04-14,48.130001,48.740002,47.939999,48.00,1131900,45.807647
2008-04-11,49.09,49.220001,48.080002,48.220001,1558100,46.0176
2008-04-10,49.450001,49.75,48.400002,49.029999,1645400,46.790601
2008-04-09,48.330002,49.50,48.27,49.349998,2108700,47.095985
2008-04-08,48.41,49.00,48.139999,48.43,1390900,46.218007
2008-04-07,49.27,50.25,48.959999,49.150002,1756500,46.905123
2008-04-04,48.50,49.119999,48.470001,48.91,1878000,46.676083
2008-04-03,48.09,48.889999,47.880001,48.540001,1702600,46.322984
2008-04-02,46.689999,48.389999,46.549999,48.380001,2359300,46.170292
2008-04-01,46.650002,46.650002,45.529999,46.389999,3567100,44.271181
2008-03-31,49.099998,49.41,47.139999,47.700001,2756200,45.52135
2008-03-28,48.970001,49.169998,48.009998,49.080002,1735600,46.838321
2008-03-27,49.950001,49.950001,48.860001,49.360001,2730400,47.105531
2008-03-26,49.43,50.130001,49.34,49.900002,4326800,47.620868
2008-03-25,47.73,49.060001,47.720001,49.040001,2852600,46.800147
2008-03-24,47.799999,48.419998,46.73,46.970001,4141100,44.824692
2008-03-20,47.549999,48.099998,46.07,47.779999,6026300,45.597694
2008-03-19,51.619999,51.68,48.740002,49.369999,6715900,47.115072
2008-03-18,55.299999,55.490002,52.119999,52.389999,4391000,49.997137
2008-03-17,55.490002,56.740002,54.040001,54.970001,4293000,52.4593
2008-03-14,55.889999,56.869999,55.189999,56.419998,4181300,53.84307
2008-03-13,54.290001,56.049999,54.27,56.049999,3685500,53.48997
2008-03-12,53.700001,54.009998,53.080002,53.650002,2443600,51.19959
2008-03-11,52.439999,53.560001,51.68,53.560001,3226100,51.1137
2008-03-10,52.330002,52.720001,51.209999,51.419998,5252300,49.07144
2008-03-07,54.919998,54.919998,52.82,53.450001,4223000,51.008724
2008-03-06,54.700001,55.060001,53.82,54.779999,3740000,52.277976
2008-03-05,53.450001,54.950001,53.310001,54.689999,4219700,52.192086
2008-03-04,55.150002,55.200001,51.959999,52.75,7694100,50.340695
2008-03-03,54.049999,54.919998,53.790001,54.619999,6082600,52.125284
2008-02-29,54.00,54.119999,52.639999,53.119999,5461000,50.693795
2008-02-28,53.169998,54.400002,53.169998,54.380001,5439400,51.896247
2008-02-27,52.740002,53.77,52.599998,53.16,5624100,50.731969
2008-02-26,50.709999,52.220001,50.580002,52.029999,6042200,49.653579
2008-02-25,50.82,51.189999,49.759998,50.939999,5111800,48.613364
2008-02-22,51.189999,51.189999,49.490002,50.880001,5110100,48.556107
2008-02-21,51.419998,52.200001,50.639999,50.790001,8028900,48.470217
2008-02-20,49.130001,50.950001,49.00,50.950001,6070200,48.622909
2008-02-19,48.869999,49.779999,48.68,49.599998,5005200,47.334567
2008-02-15,47.48,48.080002,46.759998,47.75,4141500,45.569065
2008-02-14,47.73,48.09,47.23,47.490002,4326200,45.320942
2008-02-13,47.00,47.810001,46.560001,47.759998,4449000,45.578607
2008-02-12,48.599998,48.950001,46.799999,46.889999,4651000,44.748344
2008-02-11,48.619999,48.919998,47.48,48.650002,4430800,46.42796
2008-02-08,47.060001,48.68,47.00,48.540001,4605900,46.322984
2008-02-07,46.849998,47.389999,46.349998,46.860001,4785400,44.719716
2008-02-06,47.32,48.049999,46.84,46.900002,4549400,44.75789
2008-02-05,47.080002,47.310001,46.400002,46.75,5774600,44.614739
2008-02-04,49.00,49.00,47.810001,48.150002,4153700,45.950797
2008-02-01,50.540001,50.93,48.889999,49.150002,3315900,46.905123
2008-01-31,50.52,50.869999,49.82,50.349998,2790800,48.050311
2008-01-30,50.639999,52.169998,50.220001,51.049999,4030000,48.71834
2008-01-29,51.59,51.59,50.57,50.700001,3199800,48.384328
2008-01-28,50.830002,51.380001,49.93,51.209999,4157000,48.871032
2008-01-25,50.93,51.959999,50.25,50.419998,4283100,48.117114
2008-01-24,49.93,50.889999,49.849998,50.349998,3635900,48.050311
2008-01-23,48.560001,49.470001,46.27,48.189999,3998100,45.988967
2008-01-22,45.470001,49.50,44.849998,49.50,6123900,47.239136
2008-01-18,48.470001,48.950001,46.470001,48.34,3697800,46.132118
2008-01-17,49.77,50.400002,47.77,47.91,4064300,45.721757
2008-01-16,50.290001,50.869999,48.25,48.830002,5080200,46.599739
2008-01-15,53.07,53.59,51.00,51.209999,4602200,48.871032
2008-01-14,54.029999,54.23,53.09,53.32,6214000,50.884661
2008-01-11,52.00,53.200001,51.799999,52.419998,3736400,50.025766
2008-01-10,50.860001,52.459999,50.349998,52.02,3529200,49.644038
2008-01-09,50.810001,51.189999,50.16,51.130001,4724100,48.794688
2008-01-08,50.740002,51.98,50.599998,50.799999,4603800,48.479759
2008-01-07,49.810001,50.279999,48.52,49.060001,2859300,46.819234
2008-01-04,50.279999,50.349998,49.279999,49.900002,2678500,47.620868
2008-01-03,49.349998,51.18,49.099998,50.740002,3871200,48.422502
2008-01-02,46.689999,49.27,46.689999,49.240002,3385300,46.991013
