Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,128.660004,130.899994,128.539993,130.580002,12067800,121.426171
2012-12-28,129.820007,130.449997,128.970001,129.070007,8570000,120.022029
2012-12-27,130.940002,131.139999,129.339996,130.600006,8308600,121.444773
2012-12-26,131.289993,131.479996,130.470001,130.809998,3982900,121.640044
2012-12-24,131.289993,131.419998,130.970001,130.970001,1997400,121.788831
2012-12-21,131.059998,132.020004,130.830002,131.789993,11495800,122.551341
2012-12-20,132.570007,133.279999,132.270004,133.190002,5530500,123.469155
2012-12-19,133.669998,133.699997,132.600006,132.619995,5511500,122.940749
2012-12-18,132.679993,133.729996,132.380005,133.550003,6459500,123.802881
2012-12-17,131.649994,132.520004,131.630005,132.440002,4534100,122.773893
2012-12-14,131.699997,132.00,131.259995,131.460007,3114300,121.865422
2012-12-13,132.529999,132.720001,131.550003,131.820007,3844500,122.199149
2012-12-12,132.979996,133.339996,132.330002,132.509995,9551800,122.838777
2012-12-11,132.210007,133.119995,132.179993,132.50,4012700,122.829512
2012-12-10,131.589996,132.009995,131.570007,131.740005,3480900,122.124986
2012-12-07,131.300003,131.610001,130.820007,131.559998,3993200,121.958116
2012-12-06,130.339996,130.800003,130.089996,130.740005,4129400,121.19797
2012-12-05,129.710007,130.820007,129.160004,130.240005,8697300,120.734463
2012-12-04,129.610001,130.139999,129.300003,129.389999,5760400,119.946494
2012-12-03,130.690002,130.800003,129.490005,129.550003,5820800,120.09482
2012-11-30,130.25,130.460007,129.779999,130.100006,4979600,120.604681
2012-11-29,130.229996,130.539993,129.509995,130.139999,6112800,120.641756
2012-11-28,128.169998,129.75,127.470001,129.639999,7397000,120.178248
2012-11-27,129.179993,129.649994,128.509995,128.679993,4910000,119.288307
2012-11-26,129.119995,129.520004,128.789993,129.520004,4621000,120.067011
2012-11-23,128.669998,129.910004,128.660004,129.889999,3345800,120.410002
2012-11-21,127.650002,128.220001,127.540001,128.149994,4589400,118.79699
2012-11-20,127.309998,127.870003,126.75,127.709999,7021800,118.389108
2012-11-19,126.629997,127.68,126.510002,127.629997,9551500,118.314946
2012-11-16,125.25,125.769997,124.419998,125.599998,9350400,116.433106
2012-11-15,125.57,126.050003,125.010002,125.510002,7658000,116.050259
2012-11-14,127.82,128.039993,125.459999,125.760002,9479400,116.281417
2012-11-13,127.410004,128.919998,127.330002,127.529999,5407200,117.918008
2012-11-12,128.190002,128.539993,127.699997,128.039993,3758200,118.389564
2012-11-09,127.360001,128.789993,127.279999,127.919998,6571600,118.278613
2012-11-08,129.179993,129.679993,127.989998,127.989998,8427500,118.343337
2012-11-07,131.050003,131.050003,128.649994,129.25,18648300,119.508372
2012-11-06,131.279999,132.630005,131.199997,132.050003,4408300,122.097337
2012-11-05,130.460007,131.130005,130.110001,130.869995,2710700,121.006267
2012-11-02,132.559998,132.610001,130.470001,130.669998,5141300,120.821344
2012-11-01,131.020004,132.440002,130.970001,131.979996,3807400,122.032607
2012-10-31,131.350006,131.589996,130.229996,130.600006,3939600,120.756627
2012-10-26,130.679993,131.229996,130.089996,130.789993,4182600,120.932295
2012-10-25,131.190002,131.350006,130.089996,130.779999,6313100,120.923054
2012-10-24,131.00,131.25,130.339996,130.50,6097300,120.664159
2012-10-23,131.600006,131.630005,130.529999,130.740005,8962100,120.886075
2012-10-22,132.929993,133.389999,132.039993,133.100006,5591900,123.068201
2012-10-19,134.800003,134.800003,132.809998,133.110001,10437500,123.077443
2012-10-18,135.259995,135.770004,135.00,135.360001,6305000,124.984952
2012-10-17,134.949997,135.460007,134.850006,135.429993,3815400,125.049579
2012-10-16,134.649994,135.360001,134.570007,135.300003,5454400,124.929553
2012-10-15,133.339996,134.190002,133.059998,134.020004,2641800,123.747663
2012-10-12,133.259995,133.830002,132.75,133.130005,3271200,122.92588
2012-10-11,133.910004,134.100006,133.080002,133.130005,3669100,122.92588
2012-10-10,134.399994,134.449997,133.070007,133.279999,10138700,123.064378
2012-10-09,135.419998,135.740005,134.550003,134.589996,6034700,124.273967
2012-10-08,135.399994,135.860001,135.320007,135.649994,2405000,125.252718
2012-10-05,136.089996,136.440002,135.479996,135.960007,4560300,125.538969
2012-10-04,135.149994,135.710007,134.960007,135.520004,3911800,125.132692
2012-10-03,134.75,135.110001,134.100006,134.679993,3319800,124.357065
2012-10-02,135.110001,135.380005,133.940002,134.479996,6269100,124.172397
2012-10-01,134.619995,135.690002,134.529999,134.779999,4854000,124.449406
2012-09-28,133.919998,134.479996,133.360001,134.050003,4565400,123.775363
2012-09-27,134.440002,134.940002,133.850006,134.600006,4975500,124.283209
2012-09-26,134.369995,134.509995,133.740005,133.899994,5447700,123.636852
2012-09-25,135.529999,135.899994,134.279999,134.339996,6292300,124.043129
2012-09-24,134.919998,135.729996,134.880005,135.320007,2706900,124.948024
2012-09-21,136.210007,136.240005,135.399994,135.470001,5318100,125.086521
2012-09-20,135.199997,135.979996,135.00,135.949997,6949700,125.27026
2012-09-19,135.850006,136.240005,135.550003,135.729996,3080800,125.067541
2012-09-18,135.149994,135.789993,135.149994,135.610001,3375400,124.956973
2012-09-17,135.570007,135.880005,135.240005,135.529999,2606500,124.883256
2012-09-14,135.619995,136.479996,135.410004,135.860001,5186100,125.187334
2012-09-13,133.270004,135.710007,133.210007,135.389999,6975700,124.754254
2012-09-12,133.460007,133.649994,133.080002,133.369995,1953900,122.892934
2012-09-11,132.600006,133.449997,132.589996,133.089996,2824400,122.634931
2012-09-10,132.770004,133.160004,132.419998,132.479996,2296800,122.07285
2012-09-07,132.889999,133.089996,132.570007,132.940002,4827700,122.49672
2012-09-06,131.160004,132.830002,131.160004,132.820007,5559400,122.386151
2012-09-05,130.369995,130.830002,130.039993,130.369995,2828800,120.128603
2012-09-04,130.740005,130.800003,129.630005,130.229996,4106900,119.999601
2012-08-31,130.639999,131.399994,130.039993,130.880005,5447700,120.598548
2012-08-30,130.380005,130.389999,129.649994,129.919998,4120700,119.713956
2012-08-29,130.869995,131.279999,130.630005,130.919998,2400400,120.6354
2012-08-28,130.75,131.300003,130.600006,130.860001,3028000,120.580115
2012-08-27,131.419998,131.570007,130.949997,131.059998,1806500,120.764401
2012-08-24,130.210007,131.559998,130.059998,131.380005,4202400,121.05927
2012-08-23,131.259995,131.289993,130.199997,130.380005,4159600,120.137826
2012-08-22,131.570007,131.800003,130.940002,131.470001,4496200,121.142197
2012-08-21,132.570007,133.020004,131.570007,131.770004,4094500,121.418633
2012-08-20,132.190002,132.470001,131.990005,132.380005,2266700,121.980714
2012-08-17,132.289993,132.520004,132.190002,132.419998,2484300,122.017565
2012-08-16,131.770004,132.75,131.50,132.570007,5340400,121.834211
2012-08-15,131.509995,131.990005,131.440002,131.720001,2834800,121.05304
2012-08-14,132.050003,132.160004,131.320007,131.660004,3421500,120.997902
2012-08-13,131.740005,131.899994,131.020004,131.619995,3986700,120.961133
2012-08-10,131.149994,131.949997,130.789993,131.929993,4410400,121.246026
2012-08-09,131.50,131.869995,131.110001,131.570007,3355100,120.915193
2012-08-08,130.940002,131.839996,130.889999,131.550003,3003900,120.896809
2012-08-07,131.320007,131.889999,131.289993,131.380005,3584500,120.740578
2012-08-06,130.940002,131.610001,130.880005,130.899994,4572700,120.299439
2012-08-03,130.059998,131.070007,129.880005,130.729996,7768300,120.143208
2012-08-02,128.660004,129.289993,127.510002,128.539993,10915200,118.130556
2012-08-01,130.470001,130.50,129.179993,129.449997,5770000,118.966866
2012-07-31,130.25,130.529999,129.690002,129.690002,4783400,119.187435
2012-07-30,130.309998,130.990005,130.119995,130.399994,4235800,119.83993
2012-07-27,129.020004,130.889999,128.979996,130.539993,7463900,119.968592
2012-07-26,128.169998,129.029999,127.93,128.580002,8074000,118.167325
2012-07-25,126.599998,127.040001,126.00,126.510002,3872300,116.264958
2012-07-24,126.93,127.010002,124.940002,125.860001,7077400,115.667595
2012-07-23,126.019997,127.18,125.529999,126.910004,4647900,116.632566
2012-07-20,128.350006,128.660004,127.809998,128.039993,7435600,117.671047
2012-07-19,129.270004,129.710007,128.809998,129.320007,3845000,118.654408
2012-07-18,127.489998,129.149994,127.43,128.960007,3099300,118.324098
2012-07-17,127.529999,128.149994,126.290001,127.82,3326900,117.278113
2012-07-16,127.25,127.510002,126.75,127.120003,1991700,116.635848
2012-07-13,125.919998,127.709999,125.860001,127.620003,3942000,117.094611
2012-07-12,125.209999,126.160004,124.769997,125.57,4412400,115.213681
2012-07-11,126.43,126.489998,125.190002,125.910004,6839500,115.525643
2012-07-10,127.959999,128.139999,125.910004,126.349998,6730900,115.929349
2012-07-09,127.419998,127.50,126.709999,127.239998,4503800,116.745946
2012-07-06,127.790001,127.809998,126.870003,127.57,4341400,117.048732
2012-07-05,128.619995,129.410004,128.300003,128.779999,6637500,118.158937
2012-07-03,128.369995,129.229996,128.240005,129.149994,2717700,118.498417
2012-07-02,128.619995,128.770004,127.690002,128.360001,3837000,117.773578
2012-06-29,127.75,128.570007,127.440002,128.449997,5844400,117.856152
2012-06-28,125.019997,125.860001,124.25,125.800003,6460100,115.424714
2012-06-27,125.400002,126.230003,125.32,126.010002,3717100,115.617394
2012-06-26,125.029999,125.510002,124.25,125.080002,7551600,114.764095
2012-06-25,125.059998,125.089996,124.32,124.760002,5922300,114.470487
2012-06-22,126.129997,126.480003,125.779999,126.230003,5295800,115.819251
2012-06-21,128.149994,128.339996,125.339996,125.440002,7702600,115.094405
2012-06-20,128.119995,128.490005,127.110001,127.959999,9212800,117.406566
2012-06-19,127.730003,128.710007,127.510002,128.059998,3869500,117.498317
2012-06-18,126.800003,127.540001,126.650002,127.129997,4568500,116.645018
2012-06-15,126.769997,127.480003,126.639999,127.339996,6268400,116.837698
2012-06-14,125.120003,126.940002,124.949997,126.370003,8162700,115.745847
2012-06-13,125.339996,125.940002,124.480003,124.889999,4687100,114.39027
2012-06-12,124.400002,125.660004,124.040001,125.589996,4923700,115.031417
2012-06-11,126.379997,126.489998,123.849998,123.980003,7232100,113.556779
2012-06-08,124.120003,125.43,123.860001,125.43,4432700,114.884873
2012-06-07,125.169998,125.43,124.260002,124.519997,8806300,114.051375
2012-06-06,121.989998,123.989998,121.949997,123.93,6138400,113.51098
2012-06-05,120.639999,121.32,120.519997,121.089996,6619900,110.909741
2012-06-04,121.089996,121.279999,120.190002,120.779999,6369000,110.625805
2012-06-01,122.129997,122.419998,120.910004,121.010002,11815100,110.836472
2012-05-31,124.019997,124.739998,123.010002,123.699997,7793500,113.300314
2012-05-30,124.529999,124.610001,123.739998,123.989998,6874300,113.565934
2012-05-29,125.230003,125.919998,124.900002,125.599998,6828700,115.040579
