Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,8.52,8.69,8.48,8.68,19336100,8.366849
2012-12-28,8.57,8.60,8.49,8.50,10049600,8.193343
2012-12-27,8.75,8.76,8.53,8.62,16447000,8.309013
2012-12-26,8.64,8.80,8.64,8.73,14435200,8.415045
2012-12-24,8.53,8.64,8.52,8.62,8064200,8.309013
2012-12-21,8.65,8.66,8.51,8.57,19066800,8.260817
2012-12-20,8.63,8.70,8.60,8.70,14892000,8.386127
2012-12-19,8.84,8.85,8.62,8.64,27418200,8.328292
2012-12-18,8.75,8.91,8.75,8.91,18736200,8.588551
2012-12-17,8.77,8.79,8.62,8.75,16364800,8.434323
2012-12-14,8.60,8.75,8.59,8.74,13279800,8.424684
2012-12-13,8.64,8.71,8.56,8.59,12192700,8.280096
2012-12-12,8.71,8.72,8.61,8.65,14378400,8.337931
2012-12-11,8.58,8.72,8.55,8.68,17204000,8.366849
2012-12-10,8.46,8.60,8.46,8.57,11892800,8.260817
2012-12-07,8.57,8.59,8.45,8.50,12167400,8.193343
2012-12-06,8.56,8.60,8.48,8.57,11909100,8.260817
2012-12-05,8.44,8.62,8.43,8.57,17286800,8.260817
2012-12-04,8.37,8.49,8.35,8.42,11000600,8.116229
2012-12-03,8.45,8.45,8.35,8.41,13646700,8.10659
2012-11-30,8.41,8.45,8.32,8.41,12200900,8.10659
2012-11-29,8.46,8.50,8.35,8.40,13496600,8.09695
2012-11-28,8.21,8.41,8.16,8.40,17479800,8.09695
2012-11-27,8.30,8.42,8.28,8.28,10803200,7.98128
2012-11-26,8.33,8.35,8.25,8.31,11971600,8.010198
2012-11-23,8.33,8.35,8.26,8.35,7821400,8.048755
2012-11-21,8.27,8.32,8.22,8.27,8611000,7.971641
2012-11-20,8.30,8.31,8.14,8.25,14130400,7.952362
2012-11-19,8.27,8.35,8.21,8.34,14606500,8.039115
2012-11-16,8.09,8.20,7.98,8.18,22913500,7.884888
2012-11-15,8.11,8.19,8.02,8.05,14798900,7.759578
2012-11-14,8.33,8.36,8.10,8.13,14175500,7.836691
2012-11-13,8.36,8.44,8.30,8.31,11103900,8.010198
2012-11-12,8.43,8.48,8.38,8.43,8583500,8.125868
2012-11-09,8.34,8.57,8.32,8.43,18237400,8.125868
2012-11-08,8.49,8.56,8.30,8.39,18583700,8.087312
2012-11-07,8.61,8.63,8.47,8.48,24739200,8.174064
2012-11-06,8.67,8.80,8.62,8.74,19837900,8.424684
2012-11-05,8.60,8.70,8.59,8.61,16654500,8.299374
2012-11-02,8.81,8.82,8.62,8.65,13631900,8.337931
2012-11-01,8.62,8.81,8.59,8.75,17904500,8.434323
2012-10-31,8.67,8.71,8.56,8.57,16074600,8.260817
2012-10-26,8.70,8.79,8.63,8.65,14211900,8.309013
2012-10-25,8.76,8.81,8.65,8.73,12167500,8.385859
2012-10-24,8.85,8.92,8.68,8.70,20239700,8.357042
2012-10-23,8.93,8.94,8.78,8.78,23433900,8.433888
2012-10-22,8.98,9.15,8.96,9.10,15913300,8.741274
2012-10-19,9.18,9.20,8.65,9.01,15823600,8.654822
2012-10-18,9.11,9.27,9.07,9.21,15739400,8.846938
2012-10-17,9.02,9.22,8.97,9.18,16391900,8.818121
2012-10-16,8.83,8.97,8.81,8.94,16740400,8.587581
2012-10-15,8.72,8.81,8.63,8.80,14615600,8.4531
2012-10-12,8.78,8.86,8.66,8.69,15395000,8.347436
2012-10-11,8.78,8.88,8.71,8.77,15602900,8.424283
2012-10-10,9.05,9.06,8.66,8.71,48171800,8.366648
2012-10-09,9.19,9.25,9.09,9.13,32181800,8.770092
2012-10-08,9.02,9.22,9.00,9.12,14252300,8.760486
2012-10-05,9.21,9.34,9.03,9.09,19292900,8.731668
2012-10-04,8.84,9.11,8.81,9.07,24420100,8.712456
2012-10-03,8.87,8.90,8.72,8.78,14563300,8.433888
2012-10-02,8.97,8.99,8.79,8.85,13760600,8.50113
2012-10-01,8.94,9.07,8.86,8.91,17007000,8.558764
2012-09-28,8.91,8.95,8.84,8.86,15114600,8.510735
2012-09-27,8.89,9.02,8.82,8.99,18485600,8.63561
2012-09-26,8.79,8.98,8.65,8.89,25640000,8.539553
2012-09-25,9.15,9.19,8.81,8.84,23210000,8.491524
2012-09-24,9.05,9.13,9.02,9.06,15640900,8.702851
2012-09-21,9.34,9.37,9.10,9.13,22879400,8.770092
2012-09-20,9.37,9.41,9.18,9.25,20860900,8.885361
2012-09-19,9.61,9.65,9.47,9.47,15458600,9.096689
2012-09-18,9.43,9.60,9.33,9.49,21122600,9.1159
2012-09-17,9.72,9.79,9.56,9.58,18821600,9.202352
2012-09-14,9.80,9.93,9.78,9.84,29709800,9.452103
2012-09-13,9.32,9.68,9.30,9.63,29682400,9.250381
2012-09-12,9.44,9.46,9.19,9.35,18559300,8.981419
2012-09-11,9.12,9.40,9.09,9.33,20524900,8.962207
2012-09-10,9.08,9.31,9.03,9.05,29599000,8.693245
2012-09-07,8.83,9.10,8.83,9.10,26126200,8.741274
2012-09-06,8.59,8.80,8.59,8.76,13818700,8.414677
2012-09-05,8.43,8.55,8.40,8.52,12027400,8.184138
2012-09-04,8.56,8.56,8.41,8.42,11830000,8.08808
2012-08-31,8.53,8.60,8.43,8.56,16911500,8.222562
2012-08-30,8.47,8.50,8.39,8.44,9928300,8.107291
2012-08-29,8.52,8.59,8.45,8.54,12696200,8.20335
2012-08-28,8.47,8.57,8.45,8.50,10328900,8.164926
2012-08-27,8.67,8.68,8.46,8.48,11854500,8.145714
2012-08-24,8.61,8.68,8.55,8.63,10426900,8.289802
2012-08-23,8.80,8.82,8.62,8.63,12590200,8.289802
2012-08-22,8.77,8.87,8.67,8.87,13302000,8.520341
2012-08-21,8.83,8.95,8.80,8.82,13825500,8.472312
2012-08-20,8.74,8.83,8.69,8.80,9049200,8.4531
2012-08-17,8.76,8.85,8.70,8.75,10868700,8.405071
