Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,16.92,16.959999,16.77,16.780001,9515600,16.780001
2009-12-30,16.83,16.99,16.809999,16.98,8188000,16.98
2009-12-29,16.84,16.969999,16.68,16.92,13450200,16.92
2009-12-28,16.74,16.940001,16.68,16.879999,11504300,16.879999
2009-12-24,16.690001,16.75,16.65,16.719999,4736600,16.719999
2009-12-23,16.35,16.700001,16.00,16.67,23584100,16.67
2009-12-22,15.88,16.08,15.82,15.98,10631600,15.98
2009-12-21,16.110001,16.17,15.85,15.88,17806100,15.88
2009-12-18,15.94,16.139999,15.78,16.139999,30021100,16.139999
2009-12-17,15.72,15.96,15.64,15.82,26156700,15.82
2009-12-16,15.57,15.82,15.47,15.79,20637500,15.79
2009-12-15,15.77,15.88,15.65,15.74,13272900,15.74
2009-12-14,15.90,15.97,15.64,15.81,18086300,15.81
2009-12-11,15.85,15.90,15.62,15.74,22607500,15.74
2009-12-10,15.34,15.57,15.24,15.49,18743000,15.49
2009-12-09,15.52,15.54,15.12,15.18,25396900,15.18
2009-12-08,15.45,15.90,15.23,15.45,31160600,15.45
2009-12-07,15.36,15.65,15.32,15.45,18035200,15.45
2009-12-04,15.32,15.38,15.00,15.19,17576000,15.19
2009-12-03,15.33,15.38,15.10,15.11,17196200,15.11
2009-12-02,15.17,15.50,15.16,15.31,17807800,15.31
2009-12-01,15.03,15.19,14.85,15.13,17096500,15.13
2009-11-30,14.90,15.10,14.80,14.97,17587000,14.97
2009-11-27,15.04,15.09,14.88,15.00,11452900,15.00
2009-11-25,15.29,15.35,15.17,15.30,21370600,15.30
2009-11-24,15.38,15.49,15.20,15.24,19774000,15.24
2009-11-23,15.58,15.65,15.34,15.45,24501400,15.45
2009-11-20,15.60,15.74,15.36,15.38,16127300,15.38
2009-11-19,15.83,15.85,15.52,15.61,26891000,15.61
2009-11-18,16.02,16.129999,15.84,15.98,12775400,15.98
2009-11-17,15.89,16.110001,15.73,16.049999,22249500,16.049999
2009-11-16,16.08,16.190001,15.92,16.07,26125200,16.07
2009-11-13,16.040001,16.10,15.92,15.93,26453800,15.93
2009-11-12,16.10,16.280001,15.97,16.00,10210100,16.00
2009-11-11,16.00,16.16,15.92,16.09,16346100,16.09
2009-11-10,16.08,16.360001,16.01,16.040001,24097400,16.040001
2009-11-09,16.129999,16.190001,15.97,16.02,14831900,16.02
2009-11-06,15.89,16.030001,15.76,15.94,13562500,15.94
2009-11-05,15.80,16.00,15.74,15.90,27732500,15.90
2009-11-04,15.90,15.90,15.66,15.69,18697100,15.69
2009-11-03,15.71,15.79,15.63,15.70,17240200,15.70
2009-11-02,15.75,15.90,15.59,15.85,15258200,15.85
2009-10-30,16.059999,16.370001,15.80,15.90,22321700,15.90
2009-10-29,16.190001,16.379999,15.74,16.129999,39146700,16.129999
2009-10-28,16.690001,16.77,16.02,16.040001,25044800,16.040001
2009-10-27,16.690001,16.870001,16.35,16.690001,19917800,16.690001
2009-10-26,17.049999,17.200001,16.67,16.870001,21213100,16.870001
2009-10-23,17.709999,17.75,17.09,17.219999,17760400,17.219999
2009-10-22,17.540001,17.75,17.299999,17.67,16018100,17.67
2009-10-21,17.98,18.02,17.57,17.66,46204500,17.66
2009-10-20,17.370001,17.41,16.870001,17.17,38320400,17.17
2009-10-19,16.799999,17.290001,16.700001,17.219999,17878000,17.219999
2009-10-16,16.610001,16.85,16.40,16.809999,20479000,16.809999
2009-10-15,16.84,16.889999,16.459999,16.52,24337300,16.52
2009-10-14,16.93,17.030001,16.82,16.950001,17508000,16.950001
2009-10-13,16.950001,17.00,16.809999,16.879999,19492500,16.879999
2009-10-12,16.959999,17.110001,16.66,16.75,16904700,16.75
2009-10-09,17.43,17.48,16.84,16.870001,29015700,16.870001
2009-10-08,17.629999,17.860001,17.540001,17.58,27966900,17.58
2009-10-07,17.219999,17.49,17.15,17.49,12456700,17.49
2009-10-06,16.959999,17.35,16.950001,17.299999,21427600,17.299999
2009-10-05,16.85,17.129999,16.66,16.799999,22224900,16.799999
2009-10-02,17.23,17.35,16.780001,16.84,32685300,16.84
2009-10-01,17.65,17.719999,17.200001,17.389999,24871600,17.389999
2009-09-30,17.48,17.940001,17.24,17.809999,39878200,17.809999
2009-09-29,17.50,17.66,17.209999,17.450001,31600100,17.450001
2009-09-28,16.98,17.469999,16.950001,17.469999,26412200,17.469999
2009-09-25,16.799999,17.15,16.75,17.08,20701400,17.08
2009-09-24,17.309999,17.32,16.65,16.889999,26493700,16.889999
2009-09-23,17.10,17.60,16.969999,17.209999,36814300,17.209999
2009-09-22,17.17,17.219999,16.75,16.860001,30588800,16.860001
2009-09-21,17.23,17.23,16.959999,17.040001,26826900,17.040001
2009-09-18,17.700001,17.700001,16.85,17.389999,86402600,17.389999
2009-09-17,17.00,17.790001,16.959999,17.50,62010000,17.50
2009-09-16,16.57,17.110001,16.52,16.99,53594700,16.99
2009-09-15,16.01,16.49,15.87,16.41,64668200,16.41
2009-09-14,15.45,15.58,15.28,15.57,19451200,15.57
2009-09-11,15.53,15.68,15.41,15.59,26860700,15.59
2009-09-10,15.28,15.63,15.15,15.45,49083300,15.45
2009-09-09,14.45,14.86,14.42,14.78,19096300,14.78
2009-09-08,14.65,14.66,14.37,14.49,17712200,14.49
2009-09-04,14.26,14.64,14.23,14.50,17003900,14.50
2009-09-03,14.36,14.43,14.16,14.28,14661900,14.28
2009-09-02,14.08,14.33,13.97,14.23,23591500,14.23
2009-09-01,14.50,14.68,14.15,14.18,30615300,14.18
2009-08-31,14.74,14.80,14.56,14.61,15420500,14.61
2009-08-28,14.98,15.08,14.80,14.85,33918200,14.85
2009-08-27,14.92,15.00,14.71,14.93,30411000,14.93
2009-08-26,15.09,15.14,14.86,14.93,15845300,14.93
2009-08-25,15.12,15.21,14.94,15.07,22850600,15.07
2009-08-24,14.89,15.19,14.83,14.99,26171000,14.99
2009-08-21,14.88,14.96,14.73,14.79,23537700,14.79
2009-08-20,14.75,14.90,14.70,14.77,15579900,14.77
2009-08-19,14.58,14.91,14.55,14.79,15501500,14.79
2009-08-18,14.64,14.78,14.56,14.75,14797300,14.75
2009-08-17,14.69,14.78,14.51,14.56,29268300,14.56
2009-08-14,14.98,15.14,14.85,15.04,28817100,15.04
2009-08-13,14.74,15.07,14.61,15.04,40193000,15.04
2009-08-12,14.47,14.76,14.41,14.68,24256200,14.68
2009-08-11,14.54,14.65,14.33,14.46,17823200,14.46
2009-08-10,14.66,14.68,14.49,14.63,18350900,14.63
2009-08-07,14.86,14.90,14.56,14.62,28261000,14.62
2009-08-06,14.76,14.86,14.63,14.74,35659500,14.74
2009-08-05,14.76,14.91,14.61,14.67,50910100,14.67
2009-08-04,14.44,14.68,14.37,14.51,43084800,14.51
2009-08-03,14.56,14.62,14.30,14.34,43976900,14.34
2009-07-31,14.72,14.89,14.29,14.32,62659900,14.32
2009-07-30,15.13,15.14,14.24,14.60,100889000,14.60
2009-07-29,16.00,16.200001,15.05,15.14,126807700,15.14
2009-07-28,16.969999,17.49,16.52,17.219999,36152600,17.219999
2009-07-27,17.370001,17.48,16.85,17.00,19951800,17.00
2009-07-24,17.43,17.59,17.02,17.48,19944700,17.48
2009-07-23,17.41,17.68,17.16,17.360001,37524900,17.360001
2009-07-22,16.190001,17.48,16.120001,17.370001,53615500,17.370001
2009-07-21,17.049999,17.110001,16.440001,16.75,33601800,16.75
2009-07-20,17.18,17.43,16.65,17.01,27760800,17.01
2009-07-17,16.75,16.91,16.450001,16.84,32514700,16.84
2009-07-16,15.80,16.25,15.78,16.190001,21919500,16.190001
2009-07-15,15.23,15.74,15.15,15.71,18813600,15.71
2009-07-14,15.07,15.22,14.98,15.18,13039500,15.18
2009-07-13,14.95,15.06,14.64,15.01,13174400,15.01
2009-07-10,14.78,15.18,14.75,14.93,23061200,14.93
2009-07-09,14.48,14.68,14.25,14.55,15598200,14.55
2009-07-08,14.44,14.69,14.22,14.38,15352700,14.38
2009-07-07,14.92,14.93,14.36,14.44,22021700,14.44
2009-07-06,14.83,14.93,14.55,14.91,13690700,14.91
2009-07-02,15.24,15.28,14.88,14.99,16919900,14.99
2009-07-01,15.49,15.69,15.35,15.41,12716100,15.41
2009-06-30,15.85,15.90,15.35,15.66,16033900,15.66
2009-06-29,15.86,16.01,15.60,15.90,12324000,15.90
2009-06-26,15.60,15.80,15.48,15.74,26449100,15.74
2009-06-25,15.44,15.67,15.25,15.53,19827800,15.53
2009-06-24,14.76,15.60,14.76,15.45,30979700,15.45
2009-06-23,14.75,14.90,14.55,14.68,15866300,14.68
2009-06-22,15.55,15.61,14.71,14.71,26488700,14.71
2009-06-19,15.50,15.84,15.40,15.80,20323100,15.80
2009-06-18,15.62,15.64,15.23,15.34,16185400,15.34
2009-06-17,15.91,16.030001,15.46,15.60,16521300,15.60
2009-06-16,16.33,16.379999,15.90,15.96,15116000,15.96
2009-06-15,16.559999,16.68,16.129999,16.40,23251700,16.40
2009-06-12,16.17,16.469999,16.10,16.40,16962900,16.40
2009-06-11,16.26,16.459999,16.15,16.190001,15042300,16.190001
2009-06-10,16.700001,16.719999,16.10,16.32,15771200,16.32
2009-06-09,16.23,16.50,16.18,16.40,13083200,16.40
2009-06-08,16.469999,16.49,16.040001,16.190001,13692600,16.190001
2009-06-05,16.77,16.99,16.299999,16.639999,17311400,16.639999
