Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,25.549999,25.690001,25.540001,25.66,2268200,25.66
2013-12-30,25.48,25.809999,25.48,25.700001,3367600,25.700001
2013-12-27,25.17,25.92,25.16,25.85,1865900,25.85
2013-12-26,25.200001,25.82,25.200001,25.780001,1759700,25.780001
2013-12-24,25.709999,25.77,25.66,25.74,1252600,25.74
2013-12-23,25.719999,25.719999,25.610001,25.66,2961900,25.66
2013-12-20,25.629999,25.700001,25.559999,25.66,2716700,25.66
2013-12-19,25.389999,25.530001,25.379999,25.459999,2614300,25.459999
2013-12-18,25.42,25.540001,25.389999,25.40,6495600,25.40
2013-12-17,25.42,25.459999,25.34,25.35,9614600,25.35
2013-12-16,25.459999,25.60,25.450001,25.469999,3035200,25.469999
2013-12-13,25.440001,25.459999,25.379999,25.389999,1585100,25.389999
2013-12-12,25.66,25.66,25.440001,25.49,1840200,25.49
2013-12-11,25.68,25.75,25.65,25.73,1964800,25.73
2013-12-10,25.809999,25.809999,25.67,25.73,1973700,25.73
2013-12-09,25.790001,25.799999,25.620001,25.65,2037300,25.65
2013-12-06,25.74,25.76,25.68,25.74,1050000,25.74
2013-12-05,25.66,25.719999,25.60,25.65,1672300,25.65
2013-12-04,25.629999,25.799999,25.629999,25.68,2137800,25.68
2013-12-03,25.49,25.68,25.49,25.629999,1399600,25.629999
2013-12-02,25.43,25.610001,25.41,25.48,5001000,25.48
2013-11-29,25.360001,25.620001,25.360001,25.51,1029700,25.51
2013-11-27,25.530001,25.530001,25.389999,25.52,1040100,25.52
2013-11-26,25.51,25.57,25.42,25.52,1754900,25.52
2013-11-25,25.459999,25.610001,25.40,25.530001,1378200,25.530001
2013-11-22,25.58,25.60,25.42,25.559999,1999100,25.559999
2013-11-21,25.280001,25.48,25.209999,25.48,2304500,25.48
2013-11-20,25.110001,25.280001,25.110001,25.16,1313500,25.16
2013-11-19,25.17,25.290001,25.120001,25.139999,1426900,25.139999
2013-11-18,25.379999,25.379999,25.18,25.18,2611100,25.18
2013-11-15,25.370001,25.41,25.33,25.35,1369400,25.35
2013-11-14,25.33,25.49,25.26,25.389999,1524500,25.389999
2013-11-13,25.280001,25.32,25.18,25.280001,1313700,25.280001
2013-11-12,25.370001,25.370001,25.110001,25.17,1606600,25.17
2013-11-11,25.24,25.370001,25.209999,25.34,1045400,25.34
2013-11-08,25.040001,25.27,25.00,25.23,1453000,25.23
2013-11-07,25.18,25.24,25.049999,25.09,2842900,25.09
2013-11-06,25.34,25.40,25.27,25.27,1702900,25.27
2013-11-05,25.32,25.34,25.209999,25.25,1522900,25.25
2013-11-04,25.309999,25.40,25.290001,25.32,1648500,25.32
2013-11-01,25.559999,25.559999,25.360001,25.43,2624000,25.43
2013-10-31,25.889999,25.93,25.719999,25.75,2376000,25.75
2013-10-30,25.969999,26.00,25.889999,25.969999,1106100,25.969999
2013-10-29,25.860001,25.93,25.799999,25.889999,2494000,25.889999
2013-10-28,25.90,26.02,25.85,25.959999,1137200,25.959999
2013-10-25,25.74,25.870001,25.719999,25.860001,1197600,25.860001
2013-10-24,25.68,25.809999,25.66,25.780001,1128100,25.780001
2013-10-23,25.93,25.959999,25.74,25.77,1036800,25.77
2013-10-22,26.299999,26.34,26.120001,26.17,1276000,26.17
2013-10-21,26.26,26.290001,26.15,26.200001,1468100,26.200001
2013-10-18,26.23,26.27,26.129999,26.26,1289600,26.26
