Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,6.96,7.01,6.85,6.91,17600,6.91
2011-12-29,6.89,7.00,6.83,6.91,12000,6.91
2011-12-28,6.85,6.95,6.76,6.87,13200,6.87
2011-12-27,6.97,7.12,6.79,6.92,23700,6.92
2011-12-23,6.83,7.00,6.83,6.91,16500,6.91
2011-12-22,6.71,6.99,6.71,6.76,33100,6.76
2011-12-21,6.87,6.87,6.55,6.70,43600,6.70
2011-12-20,6.94,7.10,6.81,6.84,52000,6.84
2011-12-19,6.40,6.89,6.40,6.81,78700,6.81
2011-12-16,6.36,6.39,6.00,6.21,65600,6.21
2011-12-15,6.23,6.47,6.06,6.36,51600,6.36
2011-12-14,5.89,6.37,5.50,6.20,102000,6.20
2011-12-13,4.94,6.06,4.68,5.88,167800,5.88
2011-12-12,4.45,4.94,4.38,4.87,125000,4.87
2011-12-09,4.53,4.61,4.25,4.45,154200,4.45
2011-12-08,4.41,4.53,4.41,4.50,61100,4.50
2011-12-07,4.71,4.80,4.21,4.53,58300,4.53
2011-12-06,4.81,4.85,4.41,4.75,65200,4.75
2011-12-05,5.21,5.21,4.79,4.84,79600,4.84
2011-12-02,5.25,5.25,5.10,5.19,26300,5.19
2011-12-01,5.30,5.30,5.10,5.23,110200,5.23
2011-11-30,5.44,5.49,5.25,5.30,24600,5.30
2011-11-29,5.46,5.46,5.25,5.37,41100,5.37
2011-11-28,5.83,5.83,5.33,5.51,36000,5.51
2011-11-25,5.40,5.89,5.40,5.76,9500,5.76
2011-11-23,5.60,5.85,5.57,5.69,19100,5.69
2011-11-22,5.56,5.70,5.51,5.70,14200,5.70
2011-11-21,5.55,5.71,5.37,5.61,27300,5.61
2011-11-18,5.78,5.84,5.27,5.79,51800,5.79
2011-11-17,6.07,6.07,5.62,5.82,32400,5.82
2011-11-16,6.00,6.03,5.70,6.03,35300,6.03
2011-11-15,5.88,6.08,5.60,6.01,95900,6.01
2011-11-14,5.43,5.94,5.21,5.94,111600,5.94
2011-11-11,5.35,5.56,5.18,5.55,141700,5.55
2011-11-10,5.48,5.48,4.64,5.30,408700,5.30
2011-11-09,7.88,7.89,5.85,6.03,380600,6.03
2011-11-08,7.80,7.87,7.29,7.63,58100,7.63
2011-11-07,8.10,8.10,7.41,7.78,119200,7.78
2011-11-04,8.20,8.50,7.91,7.97,76000,7.97
2011-11-03,8.48,8.77,8.20,8.30,58600,8.30
2011-11-02,8.95,9.00,8.25,8.39,107200,8.39
2011-11-01,9.34,9.36,8.20,8.88,178600,8.88
2011-10-31,8.96,9.48,8.75,9.40,270700,9.40
2011-10-28,8.60,9.00,8.31,9.00,135500,9.00
2011-10-27,8.00,8.50,7.99,8.14,128700,8.14
2011-10-26,7.90,8.00,7.56,7.85,116800,7.85
2011-10-25,7.50,7.88,7.36,7.85,93500,7.85
2011-10-24,7.42,7.98,7.40,7.82,240200,7.82
2011-10-21,6.29,7.18,6.26,7.08,84300,7.08
2011-10-20,7.01,7.01,6.05,6.69,58000,6.69
2011-10-19,6.90,7.12,6.60,6.97,102200,6.97
2011-10-18,7.19,7.29,6.82,6.90,139600,6.90
2011-10-17,7.25,7.25,6.76,7.04,109200,7.04
2011-10-14,7.92,7.94,6.62,6.91,200500,6.91
2011-10-13,6.27,7.19,5.72,7.09,250600,7.09
2011-10-12,5.50,6.40,5.45,5.99,204600,5.99
2011-10-11,4.80,5.25,4.80,5.14,124300,5.14
2011-10-10,4.50,4.78,4.30,4.78,29100,4.78
2011-10-07,4.64,4.64,4.38,4.50,13000,4.50
2011-10-06,4.20,4.55,4.15,4.55,19700,4.55
2011-10-05,4.06,4.44,4.06,4.40,9300,4.40
2011-10-04,4.48,4.48,4.01,4.45,9500,4.45
2011-10-03,4.73,4.73,4.10,4.10,10800,4.10
2011-09-30,4.50,4.73,4.30,4.73,13900,4.73
2011-09-29,4.50,4.95,4.50,4.50,17600,4.50
2011-09-28,4.50,5.00,4.49,4.50,26000,4.50
2011-09-27,4.80,5.00,4.51,4.80,10700,4.80
2011-09-26,4.40,4.75,4.30,4.75,11800,4.75
2011-09-23,5.01,5.02,4.30,4.70,12500,4.70
2011-09-22,5.00,5.00,3.75,4.50,29600,4.50
2011-09-21,4.90,5.00,4.77,4.95,19600,4.95
2011-09-20,5.00,5.00,4.90,4.90,10100,4.90
2011-09-19,4.86,5.00,4.56,5.00,18200,5.00
2011-09-16,4.90,5.00,4.75,5.00,12500,5.00
2011-09-15,4.65,4.79,4.65,4.78,32900,4.78
2011-09-14,4.75,4.75,4.60,4.65,24000,4.65
2011-09-13,4.60,4.75,4.47,4.75,84200,4.75
2011-09-12,4.75,4.75,4.50,4.60,39900,4.60
2011-09-09,4.30,4.65,4.10,4.50,105500,4.50
2011-09-08,4.25,4.62,4.16,4.55,270300,4.55
2011-09-07,4.10,4.25,4.00,4.25,115900,4.25
2011-09-06,4.10,4.50,3.98,4.10,131400,4.10
2011-09-02,4.00,4.50,3.75,4.01,29000,4.01
2011-09-01,3.98,4.35,3.95,4.15,129500,4.15
2011-08-31,4.02,4.02,3.65,3.98,39800,3.98
2011-08-30,3.70,4.02,3.70,4.02,16600,4.02
2011-08-29,4.00,4.02,3.90,3.90,26800,3.90
