Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,44.779999,44.880001,43.82,44.450001,526600,36.73002
2011-12-29,43.669998,44.75,43.669998,44.450001,340400,36.73002
2011-12-28,44.849998,44.849998,43.50,43.529999,456800,35.969802
2011-12-27,45.110001,45.209999,44.540001,44.59,299200,36.845704
2011-12-23,45.380001,45.59,44.91,45.119999,278900,37.283654
2011-12-22,45.07,45.50,44.459999,44.950001,464400,37.143181
2011-12-21,44.970001,44.970001,43.52,44.599998,428500,36.853966
2011-12-20,43.52,44.439999,43.43,44.41,654900,36.696966
2011-12-19,43.389999,43.740002,41.720001,41.919998,464600,34.639423
2011-12-16,43.59,43.889999,42.490002,43.00,717800,35.531852
2011-12-15,42.869999,43.669998,42.009998,42.279999,848900,34.936899
2011-12-14,42.189999,42.630001,40.040001,41.130001,751400,33.98663
2011-12-13,43.369999,43.790001,41.889999,42.23,406300,34.895584
2011-12-12,43.139999,43.310001,42.50,43.23,403800,35.721906
2011-12-09,43.369999,44.509998,43.130001,44.34,629000,36.639124
2011-12-08,43.91,44.77,42.009998,42.119999,710000,34.804688
2011-12-07,44.110001,44.349998,43.18,43.91,366000,36.035908
2011-12-06,43.849998,44.470001,43.50,44.00,471700,36.109769
2011-12-05,44.290001,45.099998,43.299999,43.959999,551600,36.076941
2011-12-02,43.50,44.110001,43.119999,43.66,367200,35.830739
2011-12-01,43.470001,43.869999,42.419998,42.759998,460900,35.092129
2011-11-30,43.73,44.02,42.810001,43.599998,804400,35.781497
2011-11-29,41.669998,42.040001,41.16,41.529999,410500,34.082697
2011-11-28,41.32,41.959999,40.490002,41.00,707800,33.647739
2011-11-25,39.00,39.740002,38.689999,38.77,276700,31.817631
2011-11-23,40.279999,40.290001,38.119999,38.700001,758200,31.760184
2011-11-22,41.07,41.959999,40.68,41.02,338200,33.664153
2011-11-21,41.18,41.970001,40.439999,41.66,519300,34.189386
2011-11-18,42.810001,43.080002,41.75,41.990002,436200,34.46021
2011-11-17,43.900002,44.259998,41.689999,42.09,1304100,34.542277
2011-11-16,42.509998,43.599998,42.23,42.310001,496800,34.722827
2011-11-15,42.529999,43.450001,41.860001,43.040001,719800,35.32192
2011-11-14,40.580002,43.400002,40.560001,42.360001,1105000,34.76386
2011-11-11,39.639999,40.990002,39.099998,40.900002,715000,33.565673
2011-11-10,38.25,38.66,37.369999,37.950001,424800,31.144676
2011-11-09,38.52,39.09,37.639999,37.669998,674000,30.914885
2011-11-08,39.990002,40.509998,39.130001,40.419998,311900,33.171745
2011-11-07,40.240002,40.59,39.509998,39.740002,379400,32.613688
2011-11-04,40.560001,40.619999,39.84,40.290001,285000,33.06506
2011-11-03,40.349998,41.34,39.77,41.27,363700,33.869322
2011-11-02,39.970001,40.18,38.950001,40.09,405200,32.900924
2011-11-01,38.299999,40.00,38.00,39.200001,732900,32.170522
2011-10-31,40.830002,41.360001,40.34,40.43,507100,33.179954
2011-10-28,40.549999,41.419998,40.290001,41.040001,488500,33.680567
2011-10-27,40.77,41.00,39.93,40.790001,691300,33.475398
2011-10-26,39.900002,39.900002,37.779999,38.849998,829300,31.883283
2011-10-25,38.650002,39.040001,37.689999,38.169998,371600,31.325223
2011-10-24,38.790001,39.349998,38.650002,39.200001,534100,32.170522
2011-10-21,39.200001,39.200001,38.299999,38.720001,486500,31.776598
2011-10-20,38.330002,39.060001,37.490002,37.93,719700,31.128262
2011-10-19,37.669998,39.220001,37.310001,38.25,1448700,31.390879
2011-10-18,36.009998,36.439999,35.110001,36.299999,457800,29.790559
2011-10-17,35.610001,36.34,35.389999,35.50,578400,29.134018
2011-10-14,34.73,36.150002,34.700001,35.900002,466700,29.46229
2011-10-13,33.720001,34.470001,33.200001,34.310001,303200,28.157414
2011-10-12,34.209999,34.91,33.900002,34.34,419200,28.182033
2011-10-11,32.84,33.98,32.59,33.84,344500,27.771695
2011-10-10,32.52,33.400002,32.459999,33.27,467500,27.30391
2011-10-07,32.150002,32.540001,31.200001,31.32,419400,25.70359
2011-10-06,30.60,31.809999,30.25,31.700001,740600,26.015448
2011-10-05,29.809999,30.639999,29.370001,30.23,763800,24.809052
2011-10-04,29.00,29.90,27.709999,29.870001,1306700,24.51361
2011-10-03,31.049999,32.00,29.76,29.76,1105100,24.423335
2011-09-30,31.58,32.939999,31.40,31.780001,560300,26.081102
2011-09-29,32.880001,33.00,31.379999,32.259998,873100,26.475025
2011-09-28,33.360001,33.57,31.76,31.90,471200,26.179582
2011-09-27,33.360001,34.049999,32.939999,33.25,404600,27.287496
2011-09-26,32.060001,32.540001,30.41,32.529999,603000,26.696608
2011-09-23,31.98,32.580002,31.17,31.790001,592800,26.089309
2011-09-22,33.279999,33.50,31.309999,31.98,901600,26.245236
2011-09-21,36.18,36.93,34.619999,34.709999,878200,28.485683
2011-09-20,34.150002,37.259998,33.82,35.529999,1321600,29.158637
2011-09-19,32.110001,34.139999,31.940001,33.740002,617500,27.689629
2011-09-16,33.360001,33.599998,32.200001,32.799999,573400,26.918191
2011-09-15,32.919998,33.650002,32.639999,33.529999,645300,27.517284
2011-09-14,32.209999,32.98,31.01,32.459999,550500,26.639161
2011-09-13,31.139999,32.360001,30.940001,32.169998,613100,26.401164
2011-09-12,30.18,31.43,29.92,31.209999,681100,25.613315
2011-09-09,32.139999,32.700001,30.76,31.40,721200,25.769244
2011-09-08,32.029999,33.869999,32.009998,33.139999,706500,26.971535
2011-09-07,31.43,32.799999,31.34,32.689999,487600,26.605295
2011-09-06,30.709999,31.41,30.07,31.16,516800,25.36008
2011-09-02,31.77,33.209999,31.57,31.82,547400,25.897232
2011-09-01,32.970001,33.759998,32.279999,32.43,458000,26.393691
2011-08-31,33.060001,33.689999,32.310001,32.990002,608200,26.849457
2011-08-30,31.00,33.459999,30.75,33.09,848000,26.930842
2011-08-29,31.280001,32.040001,30.82,31.790001,1067600,25.872817
2011-08-26,30.540001,31.110001,29.690001,30.190001,1350000,24.57063
2011-08-25,30.799999,32.25,30.690001,30.969999,923400,25.205445
2011-08-24,30.48,31.23,29.610001,31.01,1054900,25.238
2011-08-23,29.379999,31.309999,29.280001,31.129999,1142600,25.335663
2011-08-22,30.209999,30.58,28.719999,29.620001,748100,24.106726
2011-08-19,29.50,30.780001,29.32,29.50,672000,24.009062
2011-08-18,30.110001,30.34,28.91,30.040001,1218200,24.44855
2011-08-17,32.810001,33.360001,32.07,32.630001,684300,26.556465
2011-08-16,32.990002,33.110001,31.540001,32.310001,754500,26.296028
2011-08-15,33.75,33.91,32.650002,33.279999,829600,27.085476
2011-08-12,32.740002,33.799999,32.259998,32.349998,657300,26.32858
2011-08-11,30.309999,33.66,30.02,33.119999,813400,26.955257
2011-08-10,30.299999,31.50,29.43,29.76,756600,24.220667
2011-08-09,29.299999,30.07,27.43,29.860001,767300,24.302054
2011-08-08,29.02,29.950001,27.42,27.90,1360100,22.706875
2011-08-05,33.099998,33.299999,29.120001,31.25,1160900,25.433328
2011-08-04,35.779999,35.779999,33.650002,33.77,1227100,27.484272
2011-08-03,36.689999,37.389999,35.400002,37.32,866400,30.373497
2011-08-02,37.529999,38.119999,36.709999,36.75,575200,29.909594
2011-08-01,38.93,39.16,37.639999,38.200001,790900,31.089701
2011-07-29,37.18,38.560001,37.16,38.130001,691800,31.03273
2011-07-28,36.82,38.209999,36.610001,37.889999,441200,30.837401
2011-07-27,38.529999,38.57,36.84,37.290001,560900,30.349082
