Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,10.55,10.70,10.53,10.63,10613900,10.387024
2013-12-30,10.68,10.77,10.51,10.53,14515700,10.289309
2013-12-27,10.40,10.70,10.40,10.69,18997600,10.445652
2013-12-26,10.38,10.49,10.33,10.43,12199800,10.191595
2013-12-24,10.20,10.40,10.18,10.36,14292100,10.123195
2013-12-23,9.99,10.17,9.95,10.13,17904200,9.898453
2013-12-20,10.01,10.08,9.92,9.94,19384100,9.712795
2013-12-19,9.79,10.05,9.77,9.97,24727400,9.74211
2013-12-18,9.70,9.86,9.66,9.83,26156000,9.60531
2013-12-17,9.55,9.75,9.51,9.70,22101200,9.478281
2013-12-16,9.54,9.62,9.51,9.57,16882700,9.351252
2013-12-13,9.36,9.51,9.34,9.51,20909900,9.292624
2013-12-12,9.31,9.44,9.29,9.37,15080800,9.155824
2013-12-11,9.61,9.61,9.31,9.34,17187500,9.12651
2013-12-10,9.47,9.62,9.46,9.56,16886600,9.341482
2013-12-09,9.40,9.52,9.38,9.48,15874500,9.263309
2013-12-06,9.44,9.48,9.35,9.36,16862500,9.146052
2013-12-05,9.36,9.40,9.31,9.35,21364000,9.136282
2013-12-04,9.35,9.52,9.33,9.36,29955200,9.146052
2013-12-03,9.53,9.57,9.32,9.42,33457600,9.204681
2013-12-02,9.62,9.65,9.51,9.55,20717100,9.33171
2013-11-29,9.68,9.72,9.60,9.61,8727600,9.390338
2013-11-27,9.66,9.78,9.62,9.64,23990500,9.419653
2013-11-26,9.56,9.67,9.43,9.65,37133900,9.429424
2013-11-25,9.73,9.75,9.52,9.59,41906200,9.370796
2013-11-22,9.11,9.27,9.07,9.24,24306800,9.028795
2013-11-21,9.11,9.20,9.07,9.12,25818700,8.911539
2013-11-20,9.09,9.14,9.02,9.05,15449000,8.843139
2013-11-19,8.95,9.30,8.95,9.13,25522500,8.92131
2013-11-18,9.06,9.09,8.93,8.95,15426000,8.745424
2013-11-15,8.97,9.10,8.97,9.03,12810200,8.823596
2013-11-14,9.04,9.05,8.89,8.98,17043000,8.774738
2013-11-13,8.84,9.00,8.78,8.99,14448100,8.78451
2013-11-12,9.02,9.06,8.85,8.92,18104000,8.71611
2013-11-11,9.08,9.24,9.01,9.03,17960300,8.823596
2013-11-08,9.03,9.08,8.78,9.06,23678200,8.85291
2013-11-07,9.39,9.45,8.88,8.95,52969400,8.745424
2013-11-06,9.83,9.87,9.62,9.66,20060200,9.439195
2013-11-05,9.82,9.89,9.63,9.78,25414500,9.527138
2013-11-04,9.33,9.97,9.32,9.92,55086800,9.663519
2013-11-01,9.31,9.37,9.15,9.27,22047500,9.030325
2013-10-31,9.44,9.51,9.25,9.27,25951600,9.030325
2013-10-30,9.46,9.59,9.36,9.46,23228600,9.215412
2013-10-29,9.57,9.63,9.46,9.54,24030400,9.293344
2013-10-28,9.22,9.64,9.21,9.56,42869700,9.312827
2013-10-25,9.25,9.32,9.14,9.24,23256900,9.0011
2013-10-24,9.27,9.33,9.05,9.25,28356400,9.010842
2013-10-23,9.25,9.30,9.00,9.27,55258800,9.030325
2013-10-22,8.65,9.63,8.64,9.36,94154700,9.117997
2013-10-21,8.64,8.68,8.54,8.60,16232600,8.377648
2013-10-18,8.64,8.68,8.53,8.63,21264300,8.406872
2013-10-17,8.48,8.60,8.47,8.59,20515400,8.367906
2013-10-16,8.37,8.54,8.37,8.53,25026900,8.309457
2013-10-15,8.47,8.52,8.35,8.38,25409800,8.163336
2013-10-14,8.27,8.49,8.27,8.45,19441500,8.231526
2013-10-11,8.34,8.42,8.24,8.32,27434000,8.104887
2013-10-10,8.18,8.42,8.16,8.35,40852800,8.134112
2013-10-09,8.17,8.30,8.09,8.10,66321400,7.890575
2013-10-08,8.01,8.01,7.88,7.94,36144300,7.734712
2013-10-07,7.90,8.00,7.84,7.97,36772500,7.763936
2013-10-04,7.90,8.06,7.88,7.96,19953300,7.754195
2013-10-03,7.99,8.01,7.82,7.86,33826400,7.65678
2013-10-02,7.93,8.07,7.89,8.02,38182000,7.812644
2013-10-01,8.10,8.19,8.04,8.17,16085900,7.958765
2013-09-30,8.10,8.20,8.07,8.12,19967500,7.910058
2013-09-27,8.25,8.28,8.18,8.20,14112800,7.987989
2013-09-26,8.33,8.36,8.24,8.27,15441500,8.05618
2013-09-25,8.33,8.40,8.30,8.33,11181100,8.114628
2013-09-24,8.27,8.40,8.26,8.30,15362900,8.085404
2013-09-23,8.25,8.37,8.25,8.28,13094400,8.065921
2013-09-20,8.44,8.44,8.26,8.29,47155400,8.075662
2013-09-19,8.61,8.68,8.40,8.44,33078100,8.221784
2013-09-18,8.24,8.61,8.22,8.55,38949500,8.32894
2013-09-17,8.10,8.30,8.10,8.26,22308200,8.046438
2013-09-16,8.17,8.18,8.09,8.10,15468200,7.890575
2013-09-13,8.15,8.18,8.06,8.08,14983400,7.871092
2013-09-12,8.12,8.20,8.09,8.16,15754400,7.949023
2013-09-11,8.04,8.19,8.01,8.19,26732900,7.978248
2013-09-10,8.04,8.10,7.96,8.05,28526100,7.841868
2013-09-09,7.96,8.15,7.94,8.08,37544800,7.871092
2013-09-06,7.90,7.95,7.85,7.92,17400800,7.715229
2013-09-05,7.83,7.91,7.81,7.87,22406700,7.666521
2013-09-04,7.79,7.84,7.73,7.84,28502800,7.637297
2013-09-03,7.79,7.84,7.70,7.72,28807500,7.5204
2013-08-30,7.82,7.84,7.68,7.70,43742000,7.500917
2013-08-29,7.92,7.94,7.79,7.81,25760500,7.608073
2013-08-28,7.91,8.01,7.90,7.93,13504900,7.72497
2013-08-27,7.99,8.03,7.90,7.92,16725300,7.715229
2013-08-26,8.07,8.12,8.04,8.06,12851800,7.85161
2013-08-23,8.04,8.12,8.01,8.05,11141900,7.841868
2013-08-22,7.92,8.06,7.91,8.03,19335400,7.822385
2013-08-21,7.98,8.00,7.83,7.84,24098100,7.637297
2013-08-20,7.95,8.02,7.92,8.00,15372000,7.79316
2013-08-19,8.07,8.09,7.93,7.94,18594600,7.734712
2013-08-16,8.08,8.12,7.95,8.12,29891700,7.910058
2013-08-15,8.09,8.18,8.01,8.16,16348500,7.949023
2013-08-14,8.16,8.24,8.07,8.16,12842400,7.949023
2013-08-13,8.28,8.29,8.12,8.15,17232600,7.939282
2013-08-12,8.22,8.28,8.18,8.26,21705000,8.046438
2013-08-09,7.92,8.22,7.92,8.22,38472400,8.007473
2013-08-08,7.86,7.92,7.76,7.91,18757400,7.705487
2013-08-07,7.88,8.00,7.78,7.79,20546000,7.58859
2013-08-06,7.99,8.03,7.91,7.91,15887100,7.676263
2013-08-05,7.94,8.01,7.91,8.00,19279700,7.763604
2013-08-02,7.94,8.03,7.91,7.97,12050400,7.73449
2013-08-01,8.00,8.08,7.93,7.95,18071900,7.715081
2013-07-31,8.02,8.08,7.94,7.95,14872800,7.715081
2013-07-30,8.04,8.06,7.98,8.03,11533200,7.792717
2013-07-29,8.06,8.06,8.00,8.04,8394100,7.802422
2013-07-26,8.00,8.08,7.96,8.07,8731000,7.831535
2013-07-25,8.04,8.11,7.93,8.03,12347000,7.792717
2013-07-24,8.14,8.14,8.01,8.05,11937500,7.812126
2013-07-23,8.15,8.21,8.10,8.14,13853800,7.899467
2013-07-22,8.10,8.14,8.07,8.12,8124700,7.880058
2013-07-19,8.23,8.23,8.04,8.07,23767400,7.831535
2013-07-18,8.19,8.25,8.18,8.21,11850900,7.967398
2013-07-17,8.13,8.21,8.12,8.19,10398900,7.947989
2013-07-16,8.17,8.18,8.07,8.11,10436100,7.870353
2013-07-15,8.09,8.18,8.08,8.17,7514000,7.92858
2013-07-12,8.08,8.14,8.02,8.10,19159600,7.860649
2013-07-11,8.02,8.11,7.98,8.10,18365900,7.860649
2013-07-10,7.89,7.94,7.84,7.92,14691500,7.685968
2013-07-09,7.99,8.01,7.78,7.91,40373500,7.676263
2013-07-08,7.88,7.94,7.80,7.92,24058800,7.685968
2013-07-05,7.77,7.81,7.66,7.81,14897000,7.579218
2013-07-03,7.68,7.72,7.63,7.71,11505900,7.482173
2013-07-02,7.80,7.89,7.74,7.80,15777300,7.569514
2013-07-01,7.83,7.91,7.78,7.86,14323500,7.627741
2013-06-28,7.83,7.88,7.78,7.82,14526100,7.588923
2013-06-27,7.80,7.87,7.76,7.87,13892500,7.637445
2013-06-26,7.96,7.96,7.72,7.75,23754400,7.520991
2013-06-25,7.87,7.93,7.83,7.92,16871500,7.685968
2013-06-24,7.96,7.97,7.71,7.79,29888900,7.559809
2013-06-21,8.06,8.11,7.98,7.98,44970500,7.744195
2013-06-20,8.04,8.08,7.97,8.02,39436500,7.783013
2013-06-19,8.17,8.22,8.11,8.11,16747000,7.870353
2013-06-18,8.12,8.22,8.10,8.21,12444000,7.967398
2013-06-17,8.20,8.21,8.10,8.11,12908800,7.870353
2013-06-14,8.26,8.30,8.11,8.12,16666200,7.880058
2013-06-13,8.18,8.27,8.16,8.20,15101500,7.957694
2013-06-12,8.29,8.31,8.16,8.18,11653700,7.938285
2013-06-11,8.25,8.30,8.21,8.23,11898800,7.986807
2013-06-10,8.34,8.39,8.23,8.36,10934100,8.112966
2013-06-07,8.28,8.35,8.20,8.33,9766000,8.083852
2013-06-06,8.21,8.27,8.17,8.26,14125200,8.015921
2013-06-05,8.34,8.36,8.17,8.20,20763300,7.957694
2013-06-04,8.50,8.53,8.35,8.38,13512100,8.132375
2013-06-03,8.53,8.59,8.43,8.52,15784100,8.268238
2013-05-31,8.47,8.62,8.45,8.50,18112800,8.248829
