Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,26.00,26.120001,25.91,25.959999,27395700,23.053782
2011-12-29,25.950001,26.049999,25.860001,26.02,22616900,23.107067
2011-12-28,26.110001,26.15,25.76,25.82,29822500,22.929456
2011-12-27,25.959999,26.139999,25.93,26.040001,21287200,23.124828
2011-12-23,25.91,26.040001,25.73,26.030001,23205800,23.115947
2011-12-22,25.82,25.860001,25.48,25.809999,35794100,22.920575
2011-12-21,26.01,26.190001,25.440001,25.76,64132500,22.876173
2011-12-20,25.860001,26.10,25.809999,26.030001,60767600,23.115947
2011-12-19,26.02,26.120001,25.459999,25.530001,52258300,22.671922
2011-12-16,25.67,26.17,25.629999,26.00,101408100,23.089305
2011-12-15,25.719999,25.879999,25.540001,25.559999,46213900,22.698563
2011-12-14,25.719999,25.860001,25.57,25.59,47926400,22.725205
2011-12-13,25.75,26.10,25.65,25.76,54581100,22.876173
2011-12-12,25.41,25.57,25.290001,25.51,38945900,22.654161
2011-12-09,25.52,25.870001,25.50,25.700001,53788500,22.822891
2011-12-08,25.48,25.719999,25.370001,25.40,60522200,22.556475
2011-12-07,25.67,25.76,25.34,25.60,62667000,22.734085
2011-12-06,25.809999,25.870001,25.610001,25.66,46175300,22.787368
2011-12-05,25.780001,25.799999,25.50,25.700001,56818400,22.822891
2011-12-02,25.59,25.620001,25.16,25.219999,52293800,22.396625
2011-12-01,25.559999,25.629999,25.200001,25.280001,48545400,22.44991
2011-11-30,25.370001,25.59,25.139999,25.58,81350900,22.716324
2011-11-29,24.82,25.040001,24.75,24.84,40917100,22.059167
2011-11-28,24.940001,24.969999,24.690001,24.870001,46766700,22.085809
2011-11-25,24.379999,24.67,24.299999,24.299999,26164600,21.579619
2011-11-23,24.610001,24.790001,24.469999,24.469999,49099700,21.730588
2011-11-22,24.889999,24.959999,24.65,24.790001,49204500,22.014765
2011-11-21,25.24,25.25,24.90,25.00,61882500,22.201255
2011-11-18,25.48,25.50,25.15,25.299999,47626200,22.467669
2011-11-17,26.01,26.040001,25.440001,25.540001,70977500,22.680803
2011-11-16,26.469999,26.51,26.040001,26.07,53262800,23.151468
2011-11-15,26.559999,26.940001,26.40,26.74,43874200,23.746462
2011-11-14,26.879999,27.00,26.65,26.76,34199200,23.586613
2011-11-11,26.58,27.08,26.57,26.91,37903000,23.718825
2011-11-10,26.469999,26.50,26.120001,26.280001,32514400,23.163535
2011-11-09,26.59,26.75,26.059999,26.200001,62950900,23.093022
2011-11-08,27.01,27.200001,26.690001,27.16,47822500,23.939178
2011-11-07,26.209999,26.82,26.129999,26.799999,42589700,23.621869
2011-11-04,26.379999,26.40,26.00,26.25,36549200,23.137092
2011-11-03,26.24,26.59,25.98,26.530001,65836100,23.383889
2011-11-02,26.10,26.200001,25.700001,26.01,53533100,22.925553
2011-11-01,26.190001,26.32,25.860001,25.99,61182600,22.907925
2011-10-31,26.76,27.00,26.620001,26.629999,46799000,23.472029
2011-10-28,27.139999,27.190001,26.790001,26.98,57712100,23.780523
2011-10-27,27.129999,27.40,26.65,27.25,74512400,24.018505
2011-10-26,27.030001,27.059999,26.10,26.59,63029900,23.436773
2011-10-25,27.08,27.23,26.719999,26.809999,53554600,23.630683
2011-10-24,27.059999,27.40,27.040001,27.190001,56897800,23.965621
2011-10-21,27.15,27.190001,26.799999,27.16,76620600,23.939178
2011-10-20,27.26,27.34,26.40,27.040001,76300200,23.833409
2011-10-19,27.370001,27.469999,27.01,27.129999,42880000,23.912735
2011-10-18,26.940001,27.40,26.799999,27.309999,52487900,24.07139
2011-10-17,27.110001,27.42,26.85,26.98,39453300,23.780523
2011-10-14,27.309999,27.50,27.02,27.27,50947700,24.036134
2011-10-13,26.76,27.200001,26.620001,27.18,43823500,23.956807
2011-10-12,27.18,27.309999,26.90,26.959999,52489800,23.762895
2011-10-11,26.860001,27.07,26.719999,27.00,38826200,23.798152
2011-10-10,26.58,26.969999,26.469999,26.940001,41815300,23.745268
2011-10-07,26.34,26.51,26.200001,26.25,52741600,23.137092
2011-10-06,25.90,26.40,25.700001,26.34,55111400,23.21642
2011-10-05,25.42,26.16,25.16,25.889999,94061300,22.819783
2011-10-04,24.299999,25.389999,24.26,25.34,83485400,22.335007
2011-10-03,24.719999,25.34,24.52,24.530001,64592500,21.621063
2011-09-30,25.200001,25.50,24.879999,24.889999,54060500,21.93837
2011-09-29,25.98,26.17,25.09,25.450001,63407300,22.431963
2011-09-28,25.93,26.370001,25.51,25.58,60736200,22.546546
2011-09-27,25.66,25.92,25.450001,25.67,55620700,22.625873
2011-09-26,25.190001,25.52,24.73,25.440001,51057600,22.423148
2011-09-23,24.90,25.15,24.690001,25.059999,64768100,22.08821
2011-09-22,25.299999,25.65,24.60,25.059999,96278300,22.08821
2011-09-21,27.049999,27.059999,25.969999,25.99,72750700,22.907925
2011-09-20,27.309999,27.50,26.93,26.98,49211900,23.780523
2011-09-19,26.799999,27.309999,26.60,27.209999,52324900,23.983248
2011-09-16,27.049999,27.27,26.83,27.120001,89681500,23.903922
2011-09-15,26.73,27.030001,26.309999,26.99,67808300,23.789338
2011-09-14,26.17,26.799999,25.889999,26.50,66739200,23.357446
2011-09-13,25.92,26.190001,25.809999,26.040001,48792300,22.951996
2011-09-12,25.440001,25.93,25.27,25.889999,55046100,22.819783
2011-09-09,26.00,26.18,25.50,25.74,64529200,22.687572
2011-09-08,26.00,26.66,25.950001,26.219999,65811900,23.110649
2011-09-07,25.690001,26.00,25.57,26.00,41961000,22.916739
2011-09-06,25.200001,25.59,25.110001,25.51,54929300,22.484847
2011-09-02,25.780001,26.00,25.66,25.799999,43894400,22.740456
2011-09-01,26.459999,26.860001,26.209999,26.209999,60510800,23.101835
2011-08-31,26.290001,26.709999,26.26,26.60,59300800,23.445587
2011-08-30,25.73,26.43,25.700001,26.23,57341400,23.119464
2011-08-29,25.530001,25.860001,25.370001,25.84,38863200,22.775713
2011-08-26,24.51,25.34,24.42,25.25,71957000,22.255679
2011-08-25,25.08,25.16,24.50,24.57,48192000,21.656318
2011-08-24,24.65,24.93,24.42,24.90,45329700,21.947184
2011-08-23,24.030001,24.75,24.030001,24.719999,59670600,21.78853
2011-08-22,24.42,24.49,23.790001,23.98,54721000,21.136284
2011-08-19,24.41,24.620001,23.91,24.049999,77397900,21.197983
2011-08-18,24.57,25.09,24.030001,24.67,105714200,21.74446
2011-08-17,25.25,25.700001,24.93,25.25,50923700,22.255679
2011-08-16,25.219999,25.59,25.049999,25.35,54251500,22.343821
2011-08-15,25.24,25.58,25.15,25.51,56529400,22.343821
2011-08-12,25.129999,25.34,24.65,25.10,64787100,21.984708
2011-08-11,24.50,25.379999,24.40,25.190001,90690100,22.063538
2011-08-10,24.950001,25.09,24.10,24.200001,127819900,21.196412
2011-08-09,24.709999,25.620001,24.030001,25.58,126268900,22.405132
2011-08-08,25.02,25.60,24.389999,24.48,134257200,21.441659
2011-08-05,25.969999,26.10,25.23,25.68,112071700,22.492721
2011-08-04,26.530001,26.870001,25.93,25.940001,92949500,22.720451
2011-08-03,26.83,27.00,26.48,26.92,64581200,23.578818
2011-08-02,26.98,27.450001,26.76,26.799999,63883100,23.473711
2011-08-01,27.51,27.690001,26.75,27.27,61838400,23.885378
2011-07-29,27.52,27.709999,27.26,27.40,104394800,23.999242
2011-07-28,27.290001,28.07,27.209999,27.719999,83761400,24.279525
2011-07-27,27.879999,27.99,27.200001,27.33,71488700,23.937931
2011-07-26,27.82,28.15,27.780001,28.08,74636500,24.594844
2011-07-25,27.26,28.09,27.190001,27.91,108482400,24.445944
2011-07-22,26.860001,27.549999,26.68,27.530001,76380600,24.113108
2011-07-21,27.040001,27.309999,26.65,27.10,81737400,23.736478
2011-07-20,27.280001,27.35,26.98,27.059999,49795400,23.701441
2011-07-19,26.809999,27.639999,26.780001,27.540001,86730600,24.121867
2011-07-18,26.629999,26.90,26.26,26.59,44501900,23.289776
2011-07-15,26.469999,26.93,26.469999,26.780001,49132400,23.456195
2011-07-14,26.620001,27.01,26.360001,26.469999,46382300,23.184669
2011-07-13,26.60,26.959999,26.51,26.629999,40861800,23.324811
2011-07-12,26.549999,26.790001,26.34,26.540001,47319300,23.245983
2011-07-11,26.620001,26.799999,26.49,26.629999,43999800,23.324811
2011-07-08,26.540001,26.98,26.51,26.92,58320700,23.578818
2011-07-07,26.49,26.879999,26.360001,26.77,51946500,23.447436
2011-07-06,25.969999,26.370001,25.959999,26.33,48744200,23.062046
2011-07-05,26.10,26.15,25.90,26.030001,37805300,22.799281
2011-07-01,25.93,26.17,25.84,26.02,52906200,22.790522
2011-06-30,25.74,26.00,25.66,26.00,52535400,22.773004
2011-06-29,25.709999,25.709999,25.360001,25.620001,66051000,22.440169
2011-06-28,25.299999,25.92,25.16,25.799999,81032100,22.597826
2011-06-27,24.23,25.459999,24.23,25.200001,92044200,22.072297
2011-06-24,24.51,24.540001,24.190001,24.299999,101387200,21.283999
2011-06-23,24.440001,24.65,24.200001,24.629999,59470400,21.573041
2011-06-22,24.60,24.809999,24.59,24.65,44287300,21.590559
2011-06-21,24.52,24.860001,24.40,24.76,49708700,21.686907
2011-06-20,24.17,24.66,24.16,24.469999,54338400,21.4329
2011-06-17,24.219999,24.299999,23.98,24.26,83320400,21.248965
2011-06-16,23.75,24.10,23.65,24.00,57184100,21.021235
2011-06-15,24.00,24.01,23.67,23.74,49410200,20.793504
2011-06-14,24.299999,24.450001,24.190001,24.219999,42894500,21.213929
2011-06-13,23.790001,24.190001,23.700001,24.040001,47572500,21.056271
2011-06-10,24.02,24.02,23.690001,23.709999,49327200,20.767227
2011-06-09,24.01,24.040001,23.82,23.959999,42878700,20.986198
2011-06-08,23.90,24.02,23.860001,23.940001,42205000,20.968682
2011-06-07,24.09,24.17,23.90,24.059999,41112600,21.073787
2011-06-06,23.889999,24.25,23.77,24.01,54778700,21.029994
2011-06-03,24.049999,24.139999,23.84,23.91,60697700,20.942405
2011-06-02,24.49,24.65,24.18,24.219999,51487800,21.213929
2011-06-01,24.99,25.10,24.370001,24.43,74033500,21.397865
2011-05-31,24.959999,25.059999,24.700001,25.01,60196300,21.905878
2011-05-27,24.68,24.90,24.65,24.76,50251000,21.686907
2011-05-26,24.35,25.030001,24.32,24.67,78016600,21.608077
2011-05-25,24.17,24.309999,24.16,24.190001,34904200,21.187653
2011-05-24,24.200001,24.290001,24.040001,24.15,47691800,21.152617
2011-05-23,24.209999,24.25,24.030001,24.17,52692500,21.170135
2011-05-20,24.719999,24.870001,24.440001,24.49,45451500,21.450418
2011-05-19,24.85,24.879999,24.50,24.719999,37783600,21.651871
2011-05-18,24.530001,24.74,24.25,24.690001,53931100,21.625595
2011-05-17,24.40,24.700001,24.27,24.52,82882100,21.476695
2011-05-16,24.959999,25.07,24.50,24.57,91350900,21.380347
2011-05-13,25.280001,25.32,24.950001,25.030001,66812300,21.780632
2011-05-12,25.35,25.389999,25.10,25.32,77400000,22.032983
2011-05-11,25.65,25.66,25.209999,25.360001,78600000,22.067791
2011-05-10,25.379999,25.85,25.25,25.67,120798700,22.337547
2011-05-09,25.799999,25.959999,25.67,25.83,38696400,22.476776
2011-05-06,26.07,26.219999,25.75,25.870001,55993000,22.511584
2011-05-05,26.049999,26.08,25.68,25.790001,55600000,22.441969
2011-05-04,25.85,26.25,25.790001,26.059999,73292300,22.676917
2011-05-03,25.60,25.85,25.49,25.809999,71892900,22.459372
2011-05-02,25.940001,26.00,25.48,25.66,89825600,22.328845
2011-04-29,26.549999,26.639999,25.360001,25.92,319317900,22.555092
2011-04-28,26.459999,26.870001,26.40,26.709999,80200000,23.242534
2011-04-27,26.299999,26.389999,26.129999,26.379999,52689000,22.955375
2011-04-26,25.74,26.440001,25.67,26.190001,69200000,22.790041
2011-04-25,25.559999,25.620001,25.34,25.610001,33525100,22.285337
2011-04-21,25.790001,25.889999,25.360001,25.52,46892300,22.20702
2011-04-20,25.540001,26.00,25.51,25.76,61608600,22.415863
2011-04-19,25.00,25.17,24.870001,25.15,38892400,21.885052
2011-04-18,25.10,25.280001,24.719999,25.08,58045100,21.82414
2011-04-15,25.459999,25.559999,25.18,25.370001,65080400,22.076493
2011-04-14,25.42,25.440001,25.09,25.42,55239900,22.120002
2011-04-13,25.65,25.870001,25.559999,25.629999,38144700,22.302739
2011-04-12,25.83,25.85,25.549999,25.639999,36920400,22.311441
2011-04-11,26.190001,26.25,25.799999,25.98,34286300,22.607303
2011-04-08,26.17,26.280001,25.959999,26.07,39887600,22.685619
2011-04-07,26.190001,26.26,25.969999,26.200001,46134700,22.798743
2011-04-06,25.98,26.309999,25.860001,26.15,65581400,22.755233
2011-04-05,25.82,26.18,25.74,25.780001,73651100,22.433267
2011-04-04,25.450001,25.66,25.41,25.549999,35433700,22.233125
2011-04-01,25.530001,25.530001,25.309999,25.48,63114200,22.172212
2011-03-31,25.60,25.68,25.34,25.389999,63233700,22.093896
2011-03-30,25.60,25.719999,25.50,25.610001,41999300,22.285337
2011-03-29,25.34,25.52,25.299999,25.49,40763500,22.180914
2011-03-28,25.66,25.719999,25.379999,25.41,48973200,22.1113
2011-03-25,25.93,25.950001,25.59,25.620001,57029800,22.294039
2011-03-24,25.60,25.870001,25.50,25.809999,38696700,22.459372
2011-03-23,25.23,25.610001,25.18,25.540001,43969000,22.224424
2011-03-22,25.299999,25.459999,25.23,25.299999,30895600,22.015579
2011-03-21,25.18,25.58,25.15,25.33,46878100,22.041685
2011-03-18,25.059999,25.18,24.799999,24.799999,85486700,21.580489
2011-03-17,25.059999,25.219999,24.75,24.780001,62497000,21.563086
2011-03-16,25.219999,25.280001,24.68,24.790001,100725400,21.571788
2011-03-15,25.08,25.469999,25.00,25.389999,76067300,22.093896
2011-03-14,25.49,25.76,25.35,25.690001,54473400,22.354951
2011-03-11,25.41,25.85,25.360001,25.68,49905800,22.346249
2011-03-10,25.620001,25.709999,25.35,25.41,66549500,22.1113
2011-03-09,25.809999,25.98,25.66,25.889999,39789100,22.528986
2011-03-08,25.77,26.02,25.65,25.91,50549800,22.54639
2011-03-07,26.129999,26.27,25.549999,25.719999,64980400,22.381055
2011-03-04,26.219999,26.24,25.799999,25.950001,70437200,22.581198
2011-03-03,26.26,26.40,26.18,26.200001,68271500,22.798743
2011-03-02,26.110001,26.370001,26.040001,26.08,48658200,22.694321
2011-03-01,26.60,26.780001,26.15,26.16,60055000,22.763935
2011-02-28,26.690001,26.860001,26.51,26.58,51379900,23.129412
2011-02-25,26.91,26.950001,26.50,26.549999,53006300,23.103306
2011-02-24,26.639999,27.059999,26.50,26.77,64494200,23.294746
2011-02-23,26.530001,26.860001,26.43,26.59,60234100,23.138114
2011-02-22,26.780001,27.10,26.52,26.59,60889000,23.138114
2011-02-18,27.129999,27.209999,26.99,27.059999,68667800,23.547098
2011-02-17,26.969999,27.370001,26.91,27.209999,57207300,23.677625
2011-02-16,27.049999,27.07,26.60,27.02,70817900,23.512292
2011-02-15,27.040001,27.33,26.950001,26.959999,44116500,23.46008
2011-02-14,27.209999,27.27,26.950001,27.23,56766200,23.5558
2011-02-11,27.76,27.809999,27.07,27.25,83939700,23.573102
2011-02-10,27.93,27.940001,27.290001,27.50,76672400,23.789369
2011-02-09,28.190001,28.26,27.91,27.969999,52905100,24.19595
2011-02-08,28.10,28.34,28.049999,28.280001,34904200,24.464122
2011-02-07,27.799999,28.34,27.790001,28.200001,68980900,24.394917
2011-02-04,27.700001,27.84,27.51,27.77,40412200,24.022938
2011-02-03,27.969999,27.969999,27.540001,27.65,60340100,23.919129
2011-02-02,27.93,28.110001,27.879999,27.940001,45824000,24.169999
2011-02-01,27.799999,28.059999,27.610001,27.99,62810700,24.213252
2011-01-31,27.77,27.90,27.42,27.73,65029000,23.988334
2011-01-28,28.90,28.93,27.450001,27.75,141249400,24.005636
2011-01-27,28.75,29.459999,28.49,28.870001,146938600,24.974513
2011-01-26,28.51,28.99,28.50,28.780001,74628800,24.896656
2011-01-25,28.139999,28.450001,28.120001,28.450001,42436600,24.611184
2011-01-24,28.02,28.559999,27.99,28.379999,52047800,24.550628
2011-01-21,28.40,28.43,28.02,28.02,58080300,24.239205
2011-01-20,28.50,28.549999,28.129999,28.35,58613600,24.524677
2011-01-19,28.459999,28.68,28.27,28.469999,50005900,24.628484
2011-01-18,28.16,28.74,28.139999,28.66,53322700,24.792848
2011-01-14,28.08,28.379999,27.91,28.299999,62688400,24.481423
2011-01-13,28.33,28.389999,28.01,28.190001,67077600,24.386266
2011-01-12,28.120001,28.59,28.07,28.549999,52631100,24.69769
2011-01-11,28.200001,28.25,28.049999,28.110001,50298900,24.317061
2011-01-10,28.26,28.40,28.040001,28.219999,57573600,24.412217
2011-01-07,28.639999,28.74,28.25,28.60,73762000,24.740944
2011-01-06,28.040001,28.85,27.860001,28.82,88026300,24.931258
2011-01-05,27.90,28.01,27.77,28.00,58998700,24.221903
2011-01-04,27.940001,28.17,27.85,28.09,54405600,24.299759
2011-01-03,28.049999,28.18,27.92,27.98,53443800,24.204601
