date,open,high,low,close,volume,amount
2000-01-04,7.5,7.79,7.44,7.75,187513,1434079.3
2000-01-05,7.74,7.9,7.7,7.71,254126,1984696.19
2000-01-06,7.61,8,7.55,7.99,367421,2872705.13
2000-01-07,8.15,8.64,8.02,8.47,1027600,8531502.76
2000-01-10,8.57,8.75,8.31,8.63,1224520,10494536.71
2000-01-11,8.6,8.68,8.08,8.14,658210,5504695.1
2000-01-12,8.1,8.2,7.78,7.85,477626,3788225.15
2000-01-13,7.72,7.9,7.7,7.72,266408,2077998.25
2000-01-14,7.8,7.8,7.51,7.56,218766,1673812.82
2000-01-17,7.56,7.7,7.37,7.65,214560,1619035.7
2000-01-18,7.69,7.88,7.6,7.73,251069,1940704.34
2000-01-19,7.74,7.85,7.63,7.82,219104,1703752.7
2000-01-20,7.82,7.88,7.68,7.87,264692,2059840.44
2000-01-21,7.87,7.88,7.6,7.68,513764,3944313.58
2000-01-24,7.61,7.61,7.4,7.5,446204,3327392.39
2000-01-25,7.53,7.78,7.41,7.61,349062,2661344.22
2000-01-26,7.62,7.68,7.48,7.6,310911,2344496.74
2000-01-27,7.6,7.61,7.5,7.57,608716,4586176
2000-01-28,7.61,7.8,7.44,7.76,592530,4507918.39
2000-02-14,7.88,8.49,7.8,8.41,1145411,9361409.35
2000-02-15,8.42,8.6,8.04,8.13,1482622,12312854.19
2000-02-16,8.08,8.45,7.85,8.42,1236166,9967497.3
2000-02-17,8.42,9.26,8.3,8.69,3293225,28874065.72
2000-02-18,8.8,8.8,8.2,8.46,1239233,10474498.35
2000-02-21,8.47,9.18,8.35,9.15,3468938,30864244.22
2000-02-22,9.15,9.2,8.24,8.36,1781657,15539267.3
2000-02-23,8.18,8.52,8.1,8.2,1002072,8305148.42
2000-02-24,8.22,8.4,8.18,8.4,494772,4094090.6
2000-02-25,8.39,8.39,8.1,8.2,717455,5868524.7
2000-02-28,8.25,8.49,8.1,8.43,900270,7489567.36
2000-02-29,8.5,8.9,8.28,8.6,1318477,11238479.6
2000-03-01,8.65,8.86,8.48,8.67,1351140,11741152.74
2000-03-02,8.67,9,8.58,8.89,2087875,18476312.83
2000-03-03,9.01,9.36,8.8,8.83,3447558,31378180.86
2000-03-06,8.98,8.98,8.26,8.3,1558890,13390310.76
2000-03-07,8.2,8.48,8.15,8.4,637617,5300395.71
2000-03-08,8.45,8.48,8.3,8.44,655076,5490998.62
2000-03-09,8.44,8.68,8.34,8.49,859658,7274476.71
2000-03-10,8.5,8.5,8.25,8.29,648001,5387662.64
2000-03-13,8.26,8.59,8.25,8.58,478183,4036980.67
2000-03-14,8.56,8.56,8.19,8.41,755721,6285481.67
2000-03-15,8.43,8.84,8.43,8.75,1649629,14388748.33
2000-03-16,8.8,9.08,8.3,8.56,3235131,28623513.02
2000-03-17,8.3,8.8,8.3,8.72,1518198,13106499.72
2000-03-20,8.49,9.53,8.36,9.3,4903552,45204867.75
2000-03-21,9.35,9.38,9,9.14,2080421,18980554.93
2000-03-22,9.15,9.65,9.15,9.33,2780661,26146038.09
2000-03-23,9.38,9.5,9.13,9.46,1839159,17067374.99
2000-03-24,9.6,9.6,9.05,9.1,2341269,22059611.63
2000-03-27,9.08,10,9.08,10,4071674,39752787.39
2000-03-28,10.2,10.3,9.79,9.9,3751237,37605740.8
2000-03-29,9.94,10.09,9.4,9.68,2102136,20239482.05
2000-03-30,9.66,9.96,9.6,9.84,1734713,17002773.08
2000-03-31,9.91,10.66,9.85,10.43,4828838,49328916.25
2000-04-03,10.48,10.7,10.1,10.13,3282170,34067839.65
2000-04-04,10.05,10.08,9.5,9.58,2200797,21455898.09
2000-04-05,9.5,9.82,9.41,9.78,1363211,13151322.17
2000-04-06,9.85,10.6,9.85,10.58,4374251,45349990.04
2000-04-07,10.7,11.3,10.6,10.76,5519027,60046480.11
2000-04-10,10.76,10.95,10.41,10.64,2265857,24148091.99
2000-04-11,10.64,10.71,10.36,10.38,1727285,18089858.41
2000-04-12,10.38,10.58,10.05,10.3,1363911,14067472.54
2000-04-13,10.3,10.5,10.2,10.28,1257009,12991396.2
2000-04-14,10.35,10.35,10.08,10.12,1431119,14528039.61
2000-04-17,10.01,10.1,9.65,9.77,1602293,15699201.93
2000-04-18,9.7,9.98,9.68,9.96,802643,7941214.97
2000-04-19,9.96,10.05,9.87,9.9,844312,8402695.18
2000-04-20,10.18,10.8,10.12,10.45,1641901,17217207.17
2000-04-21,10.55,10.6,10.18,10.21,1351215,14033277.65
2000-04-24,10,10.28,10,10.1,972905,9804082.25
2000-04-25,10.25,10.26,9.98,10.11,698818,7030062.03
2000-04-26,10.11,10.2,9.98,10.01,646490,6495654.26
2000-04-27,10.01,10.05,9.67,9.7,796700,7819340.62
2000-04-28,9.7,9.86,9.5,9.82,880736,8516689.6
2000-05-08,9.82,9.98,9.6,9.9,677972,6617431.62
2000-05-09,9.9,9.9,9.58,9.62,409080,3960849
2000-05-10,9.55,9.67,9.18,9.2,645600,6034870
2000-05-11,9.15,9.34,9.05,9.08,428100,3938041.25
2000-05-12,9.1,9.25,9.05,9.16,490635,4494689.24
2000-05-15,9.17,9.5,9.1,9.29,700285,6526059.08
2000-05-16,9.4,9.49,9.28,9.33,406341,3816541.64
2000-05-17,9.35,9.4,9.18,9.38,438316,4064921.7
2000-05-18,9.38,9.69,9.3,9.68,653346,6242142.16
2000-05-19,9.73,9.98,9.55,9.89,1516237,14888871.89
2000-05-22,9.89,9.89,9.89,9.89,0,0
2000-05-23,9.95,10.3,9.81,10.24,1745539,17730167.5
2000-05-24,10.3,10.55,10.18,10.26,1864709,19342368.95
2000-05-25,10.32,10.8,10.32,10.7,3187835,33910641.06
2000-05-26,10.8,10.82,10.41,10.45,1798462,18960715.67
2000-05-29,10.45,10.66,10.25,10.65,1590515,16599109.21
2000-05-30,10.7,10.74,10.3,10.33,1109900,11602654.7
2000-05-31,10.25,10.51,10.2,10.4,950981,9845540.34
2000-06-01,10.4,10.59,10.3,10.41,863885,9010883.25
2000-06-02,10.45,11.05,10.3,10.91,4052497,43879546.94
2000-06-05,11,11.28,10.5,10.58,3048050,33428811.45
2000-06-06,10.5,10.8,10.4,10.78,1343477,14326027.77
2000-06-07,10.85,11.85,10.78,11.47,6779177,77464442.43
2000-06-08,11.5,11.77,11.25,11.57,3670527,42389904.9
2000-06-09,11.57,11.85,11.13,11.17,2784154,31977770.73
2000-06-12,11,11.7,11,11.66,1824292,20739242.81
2000-06-13,11.7,11.8,11.46,11.7,1592670,18531623.83
2000-06-14,11.75,11.8,11.31,11.41,1731235,19864396.68
2000-06-15,11.35,11.63,11.3,11.58,1411910,16139992.9
2000-06-16,11.56,11.58,11.18,11.21,1209784,13717399.56
2000-06-19,11.15,11.15,10.8,10.83,1474713,16132654.07
2000-06-20,10.8,11,10.62,10.71,947749,10200569.4
2000-06-21,10.71,11.2,10.65,11.15,908421,9972176.5
2000-06-22,11.09,11.25,11,11.07,603751,6713384.58
2000-06-23,11.07,11.29,11,11.18,747001,8350417.01
2000-06-26,11.2,11.65,11.19,11.44,1041625,11931496.73
2000-06-27,11.39,11.55,11.01,11.35,819722,9351863.75
2000-06-28,11.35,11.48,11.2,11.21,758223,8572827.92
2000-06-29,11.31,11.88,11.1,11.79,2692653,31258347.44
2000-06-30,11.83,12.36,11.7,11.8,4519317,54323219.12
2000-07-03,11.8,12.28,11.5,11.95,2529440,30253598.77
2000-07-04,11.8,12.13,11.75,11.92,1029371,12246203.23
2000-07-05,11.92,12.27,11.8,12.08,1590098,19207150.58
2000-07-06,12.15,12.15,11.85,11.86,884388,10536370.31
2000-07-07,11.89,12.05,11.85,11.92,957171,11415016.2
2000-07-10,12.03,12.46,11.93,12.38,1497422,18369450.53
2000-07-11,12.4,12.5,12.15,12.24,1143757,14092885.77
2000-07-12,12.24,12.5,12.2,12.32,1016628,12581360.29
2000-07-13,12.3,12.35,11.8,11.91,2198356,26350034.25
2000-07-14,11.8,12.02,11.75,11.91,790581,9388529.86
2000-07-17,12,12.15,11.8,11.98,754610,9037616.5
2000-07-18,11.98,12.28,11.92,12.05,466903,5624841.73
2000-07-19,12.2,12.2,11.89,11.93,510922,6144222.36
2000-07-20,11.95,12,11.78,11.83,634038,7506787.37
2000-07-21,11.83,12.1,11.8,11.97,531505,6348413.17
2000-07-24,11.9,11.98,11.7,11.95,639471,7544891.68
2000-07-25,11.95,12.2,11.85,12.14,801576,9670687.77
