date,open,high,low,close,volume,amount
2000-01-04,5.68,5.68,5.68,5.68,0,0
2000-01-05,5.68,5.68,5.68,5.68,0,0
2000-01-06,5.68,5.68,5.68,5.68,0,0
2000-01-07,5.68,5.68,5.68,5.68,223400,1163914
2000-01-10,5.21,5.21,5.21,5.21,0,0
2000-01-11,5.21,5.21,5.21,5.21,0,0
2000-01-12,5.21,5.21,5.21,5.21,0,0
2000-01-13,5.21,5.21,5.21,5.21,0,0
2000-01-14,5.21,5.21,5.21,5.21,80000,400800
2000-01-17,5.01,5.01,5.01,5.01,0,0
2000-01-18,5.01,5.01,5.01,5.01,0,0
2000-01-19,5.01,5.01,5.01,5.01,0,0
2000-01-20,5.01,5.01,5.01,5.01,0,0
2000-01-21,5.01,5.01,5.01,5.01,120300,577440
2000-01-24,4.8,4.8,4.8,4.8,0,0
2000-01-25,4.8,4.8,4.8,4.8,0,0
2000-01-26,4.8,4.8,4.8,4.8,0,0
2000-01-27,4.8,4.8,4.8,4.8,0,0
2000-01-28,4.8,4.8,4.8,4.8,121700,554952
2000-02-14,4.56,4.56,4.56,4.56,0,0
2000-02-15,4.56,4.56,4.56,4.56,0,0
2000-02-16,4.56,4.56,4.56,4.56,0,0
2000-02-17,4.56,4.56,4.56,4.56,0,0
2000-02-18,4.56,4.56,4.56,4.56,227700,985941
2000-02-21,4.33,4.33,4.33,4.33,0,0
2000-02-22,4.33,4.33,4.33,4.33,0,0
2000-02-23,4.33,4.33,4.33,4.33,0,0
2000-02-24,4.33,4.33,4.33,4.33,0,0
2000-02-25,4.33,4.33,4.33,4.33,334500,1374795
2000-02-28,4.11,4.11,4.11,4.11,0,0
2000-02-29,4.11,4.11,4.11,4.11,0,0
2000-03-01,4.11,4.11,4.11,4.11,0,0
2000-03-02,4.11,4.11,4.11,4.11,0,0
2000-03-03,4.11,4.11,4.11,4.11,166440,719021
2000-03-06,4.32,4.32,4.32,4.32,0,0
2000-03-07,4.32,4.32,4.32,4.32,0,0
2000-03-08,4.32,4.32,4.32,4.32,0,0
2000-03-09,4.32,4.32,4.32,4.32,0,0
2000-03-10,4.32,4.32,4.32,4.32,144600,656484
2000-03-13,4.54,4.54,4.54,4.54,0,0
2000-03-14,4.54,4.54,4.54,4.54,0,0
2000-03-15,4.54,4.54,4.54,4.54,0,0
2000-03-16,4.54,4.54,4.54,4.54,0,0
2000-03-17,4.54,4.54,4.54,4.54,145540,694226
2000-03-20,4.77,4.77,4.77,4.77,0,0
2000-03-21,4.77,4.77,4.77,4.77,0,0
2000-03-22,4.77,4.77,4.77,4.77,0,0
2000-03-23,4.77,4.77,4.77,4.77,0,0
2000-03-24,4.77,4.77,4.77,4.77,447163,2235815
2000-03-27,5,5,5,5,0,0
2000-03-28,5,5,5,5,0,0
2000-03-29,5,5,5,5,0,0
2000-03-30,5,5,5,5,0,0
2000-03-31,5,5,5,5,541100,2678445
2000-04-03,4.95,4.95,4.95,4.95,0,0
2000-04-04,4.95,4.95,4.95,4.95,0,0
2000-04-05,4.95,4.95,4.95,4.95,0,0
2000-04-06,4.95,4.95,4.95,4.95,0,0
2000-04-07,4.95,4.95,4.95,4.95,407100,1913370
2000-04-10,4.7,4.7,4.7,4.7,0,0
2000-04-11,4.7,4.7,4.7,4.7,0,0
2000-04-12,4.7,4.7,4.7,4.7,0,0
2000-04-13,4.7,4.7,4.7,4.7,0,0
2000-04-14,4.7,4.7,4.7,4.7,1141700,5103399
2000-04-17,4.47,4.47,4.47,4.47,0,0
2000-04-18,4.47,4.47,4.47,4.47,0,0
2000-04-19,4.47,4.47,4.47,4.47,0,0
2000-04-20,4.47,4.47,4.47,4.47,0,0
2000-04-21,4.47,4.47,4.47,4.47,1598408,7352677
2000-04-24,4.6,4.6,4.6,4.6,0,0
2000-04-25,4.6,4.6,4.6,4.6,0,0
2000-04-26,4.6,4.6,4.6,4.6,0,0
2000-04-27,4.6,4.6,4.6,4.6,0,0
2000-04-28,4.6,4.6,4.6,4.6,733300,3541839
2000-05-08,4.83,4.83,4.83,4.83,0,0
2000-05-09,4.83,4.83,4.83,4.83,0,0
2000-05-10,4.83,4.83,4.83,4.83,0,0
2000-05-11,4.83,4.83,4.83,4.83,0,0
2000-05-12,4.83,4.83,4.83,4.83,206300,946917
2000-05-15,4.59,4.59,4.59,4.59,0,0
2000-05-16,4.59,4.59,4.59,4.59,0,0
2000-05-17,4.59,4.59,4.59,4.59,0,0
2000-05-18,4.59,4.59,4.59,4.59,0,0
2000-05-19,4.59,4.59,4.59,4.59,227700,992772
2000-05-22,4.36,4.36,4.36,4.36,0,0
2000-05-23,4.36,4.36,4.36,4.36,0,0
2000-05-24,4.36,4.36,4.36,4.36,0,0
2000-05-25,4.36,4.36,4.36,4.36,0,0
2000-05-26,4.36,4.36,4.36,4.36,575900,2384226
2000-05-29,4.14,4.14,4.14,4.14,0,0
2000-05-30,4.14,4.14,4.14,4.14,0,0
2000-05-31,4.14,4.14,4.14,4.14,0,0
2000-06-01,4.14,4.14,4.14,4.14,0,0
2000-06-02,4.14,4.14,4.14,4.14,808200,3176226
2000-06-05,3.93,3.93,3.93,3.93,0,0
2000-06-06,3.93,3.93,3.93,3.93,0,0
2000-06-07,3.93,3.93,3.93,3.93,0,0
2000-06-08,3.93,3.93,3.93,3.93,0,0
2000-06-09,3.93,3.93,3.93,3.93,663680,2608262
2000-06-12,3.93,3.93,3.93,3.93,0,0
2000-06-13,3.93,3.93,3.93,3.93,0,0
2000-06-14,3.93,3.93,3.93,3.93,0,0
2000-06-15,3.93,3.93,3.93,3.93,0,0
2000-06-16,3.93,3.93,3.93,3.93,403871,1667987
2000-06-19,4.13,4.13,4.13,4.13,0,0
2000-06-20,4.13,4.13,4.13,4.13,0,0
2000-06-21,4.13,4.13,4.13,4.13,0,0
2000-06-22,4.13,4.13,4.13,4.13,0,0
2000-06-23,4.13,4.13,4.13,4.13,393900,1429857
2000-06-26,3.63,3.63,3.63,3.63,0,0
2000-06-27,3.63,3.63,3.63,3.63,0,0
2000-06-28,3.63,3.63,3.63,3.63,0,0
2000-06-29,3.63,3.63,3.63,3.63,0,0
2000-06-30,3.63,3.63,3.63,3.63,576500,2092695
2000-07-03,3.63,3.63,3.63,3.63,0,0
2000-07-04,3.63,3.63,3.63,3.63,0,0
2000-07-05,3.63,3.63,3.63,3.63,0,0
2000-07-06,3.63,3.63,3.63,3.63,0,0
2000-07-07,3.63,3.63,3.63,3.63,234669,894089
2000-07-10,3.81,3.81,3.81,3.81,0,0
2000-07-11,3.81,3.81,3.81,3.81,0,0
2000-07-12,3.81,3.81,3.81,3.81,0,0
2000-07-13,3.81,3.81,3.81,3.81,0,0
2000-07-14,3.81,3.81,3.81,3.81,219341,877364
2000-07-17,4,4,4,4,0,0
2000-07-18,4,4,4,4,0,0
2000-07-19,4,4,4,4,0,0
2000-07-20,4,4,4,4,0,0
2000-07-21,4,4,4,4,258500,1085700
2000-07-24,4.2,4.2,4.2,4.2,0,0
2000-07-25,4.2,4.2,4.2,4.2,0,0
2000-07-26,4.2,4.2,4.2,4.2,0,0
