datetime,datetime,open,high,low,close,volume,amount
1999-09-02 00:00:00,1999-09-02 00:00:00,1.0577,1.0729,1.0557,1.0682,9.99999999999e+11,0.0
1999-09-03 00:00:00,1999-09-03 00:00:00,1.0684,1.0722,1.0587,1.0613,9.99999999999e+11,0.0
1999-09-06 00:00:00,1999-09-06 00:00:00,1.0578,1.0621,1.057,1.0572,9.99999999999e+11,0.0
1999-09-07 00:00:00,1999-09-07 00:00:00,1.0571,1.0603,1.0517,1.0589,9.99999999999e+11,0.0
1999-09-08 00:00:00,1999-09-08 00:00:00,1.0588,1.0645,1.0564,1.0597,9.99999999999e+11,0.0
1999-09-09 00:00:00,1999-09-09 00:00:00,1.0596,1.0636,1.0525,1.0537,9.99999999999e+11,0.0
1999-09-10 00:00:00,1999-09-10 00:00:00,1.0537,1.0565,1.0349,1.0368,9.99999999999e+11,0.0
1999-09-13 00:00:00,1999-09-13 00:00:00,1.0357,1.0429,1.0298,1.0416,9.99999999999e+11,0.0
1999-09-14 00:00:00,1999-09-14 00:00:00,1.0417,1.0442,1.0318,1.0357,9.99999999999e+11,0.0
1999-09-15 00:00:00,1999-09-15 00:00:00,1.0358,1.0423,1.0286,1.0406,9.99999999999e+11,0.0
1999-09-16 00:00:00,1999-09-16 00:00:00,1.0407,1.0471,1.035,1.0387,9.99999999999e+11,0.0
1999-09-17 00:00:00,1999-09-17 00:00:00,1.0392,1.0427,1.0362,1.0425,9.99999999999e+11,0.0
1999-09-20 00:00:00,1999-09-20 00:00:00,1.0413,1.0451,1.0349,1.0367,9.99999999999e+11,0.0
1999-09-21 00:00:00,1999-09-21 00:00:00,1.0368,1.0502,1.0359,1.0492,9.99999999999e+11,0.0
1999-09-22 00:00:00,1999-09-22 00:00:00,1.0493,1.0543,1.0407,1.0434,9.99999999999e+11,0.0
1999-09-23 00:00:00,1999-09-23 00:00:00,1.0435,1.0517,1.0393,1.0512,9.99999999999e+11,0.0
1999-09-24 00:00:00,1999-09-24 00:00:00,1.0511,1.0541,1.0421,1.043,9.99999999999e+11,0.0
1999-09-27 00:00:00,1999-09-27 00:00:00,1.0436,1.048,1.0394,1.046,9.99999999999e+11,0.0
1999-09-28 00:00:00,1999-09-28 00:00:00,1.0459,1.057,1.0441,1.0518,9.99999999999e+11,0.0
1999-09-29 00:00:00,1999-09-29 00:00:00,1.052,1.0657,1.0516,1.0643,9.99999999999e+11,0.0
1999-09-30 00:00:00,1999-09-30 00:00:00,1.0642,1.0701,1.0609,1.0679,9.99999999999e+11,0.0
1999-10-01 00:00:00,1999-10-01 00:00:00,1.0679,1.0767,1.0636,1.073,9.99999999999e+11,0.0
1999-10-04 00:00:00,1999-10-04 00:00:00,1.0714,1.0776,1.0689,1.0734,9.99999999999e+11,0.0
1999-10-05 00:00:00,1999-10-05 00:00:00,1.0735,1.076,1.0669,1.0732,9.99999999999e+11,0.0
1999-10-06 00:00:00,1999-10-06 00:00:00,1.0731,1.0779,1.0681,1.0689,9.99999999999e+11,0.0
1999-10-07 00:00:00,1999-10-07 00:00:00,1.0688,1.0748,1.0661,1.071,9.99999999999e+11,0.0
1999-10-08 00:00:00,1999-10-08 00:00:00,1.0711,1.072,1.0602,1.0631,9.99999999999e+11,0.0
1999-10-11 00:00:00,1999-10-11 00:00:00,1.0616,1.0657,1.0608,1.0633,9.99999999999e+11,0.0
1999-10-12 00:00:00,1999-10-12 00:00:00,1.0632,1.0775,1.0631,1.0773,9.99999999999e+11,0.0
1999-10-13 00:00:00,1999-10-13 00:00:00,1.0771,1.0817,1.0736,1.081,9.99999999999e+11,0.0
1999-10-14 00:00:00,1999-10-14 00:00:00,1.081,1.0831,1.0749,1.0773,9.99999999999e+11,0.0
