datetime,datetime,open,high,low,close,volume,amount
2014-10-15 08:00:00,2014-10-15 08:00:00,1227.078,1227.085,1225.261,1225.741,9.99999999999e+11,0.0
2014-10-15 09:00:00,2014-10-15 09:00:00,1225.736,1227.389,1224.834,1225.035,9.99999999999e+11,0.0
2014-10-15 10:00:00,2014-10-15 10:00:00,1224.996,1226.596,1222.006,1223.272,9.99999999999e+11,0.0
2014-10-15 11:00:00,2014-10-15 11:00:00,1223.329,1224.651,1221.829,1224.156,9.99999999999e+11,0.0
2014-10-15 12:00:00,2014-10-15 12:00:00,1224.159,1224.516,1221.777,1222.685,9.99999999999e+11,0.0
2014-10-15 13:00:00,2014-10-15 13:00:00,1222.591,1224.529,1222.21,1224.069,9.99999999999e+11,0.0
2014-10-15 14:00:00,2014-10-15 14:00:00,1224.079,1229.233,1223.186,1228.981,9.99999999999e+11,0.0
2014-10-15 15:00:00,2014-10-15 15:00:00,1228.988,1238.966,1227.95,1236.161,9.99999999999e+11,0.0
2014-10-15 16:00:00,2014-10-15 16:00:00,1236.118,1249.571,1234.146,1239.729,9.99999999999e+11,0.0
2014-10-15 17:00:00,2014-10-15 17:00:00,1239.972,1240.516,1235.198,1239.887,9.99999999999e+11,0.0
2014-10-15 18:00:00,2014-10-15 18:00:00,1239.936,1245.465,1239.706,1243.732,9.99999999999e+11,0.0
2014-10-15 19:00:00,2014-10-15 19:00:00,1243.75,1247.724,1243.566,1243.873,9.99999999999e+11,0.0
2014-10-15 20:00:00,2014-10-15 20:00:00,1243.978,1246.658,1241.341,1241.896,9.99999999999e+11,0.0
2014-10-15 21:00:00,2014-10-15 21:00:00,1241.903,1242.538,1239.014,1239.784,9.99999999999e+11,0.0
2014-10-15 22:00:00,2014-10-15 22:00:00,1239.748,1240.713,1237.448,1237.731,9.99999999999e+11,0.0
2014-10-15 23:00:00,2014-10-15 23:00:00,1237.728,1241.952,1237.728,1241.78,9.99999999999e+11,0.0
2014-10-16 01:00:00,2014-10-16 01:00:00,1241.539,1241.649,1238.566,1240.543,9.99999999999e+11,0.0
2014-10-16 02:00:00,2014-10-16 02:00:00,1240.539,1240.806,1239.342,1240.091,9.99999999999e+11,0.0
2014-10-16 03:00:00,2014-10-16 03:00:00,1240.143,1242.761,1238.201,1242.176,9.99999999999e+11,0.0
2014-10-16 04:00:00,2014-10-16 04:00:00,1242.175,1245.051,1242.175,1243.148,9.99999999999e+11,0.0
