date,open,high,low,close,volume,amount
2001-06-22,16.72,17,16.7,16.91,282071,4765611.98
2001-06-25,17,17,16.75,16.88,460829,7748568.75
2001-06-26,16.88,17.05,16.8,17,444421,7521021.53
2001-06-27,17.01,17.1,16.8,16.84,276961,4673798.85
2001-06-28,16.84,16.9,16.68,16.69,383896,6432966.17
2001-06-29,16.78,16.99,16.7,16.79,226741,3817003.29
2001-07-02,16.82,16.83,16.6,16.64,317773,5287453.12
2001-07-03,16.64,16.8,16.45,16.57,556873,9204621.1
2001-07-04,16.55,16.74,16.51,16.59,324700,5388586.11
2001-07-05,16.61,16.97,16.5,16.89,414537,6945525.95
2001-07-06,16.9,17.21,16.68,17.02,673240,11487746.55
2001-07-09,17,17.1,16.89,17.01,349368,5933878.04
2001-07-10,17.01,17.2,17.01,17.2,424099,7252041.91
2001-07-11,17.2,17.2,16.6,16.86,280309,4756121.88
2001-07-12,16.8,17.1,16.77,16.93,194129,3283868.02
2001-07-13,17,17.12,16.86,16.87,290563,4940437.38
2001-07-16,17.15,17.15,16.63,16.64,336324,5624118.74
2001-07-17,16.64,16.8,16.5,16.61,245535,4072513.07
2001-07-18,16.62,16.8,16.62,16.68,159204,2652052.38
2001-07-19,16.68,16.78,16.65,16.72,153365,2559355.98
2001-07-20,16.72,17.03,16.7,17.01,376737,6345811.83
2001-07-23,17.1,17.39,17.1,17.15,864477,14900908.68
2001-07-24,17.1,17.1,16.86,16.9,369844,6257058.58
2001-07-25,16.83,16.89,16.6,16.65,281964,4706665.14
2001-07-26,16.6,16.79,16.21,16.27,589712,9675323.93
2001-07-27,16.28,16.35,15.5,15.54,975476,15340936.55
2001-07-30,15.4,15.4,14.6,14.85,753872,11336140.78
2001-07-31,14.8,15.2,14.5,14.8,526848,7822104.96
2001-08-01,14.81,15.26,14.81,15.22,396037,5966532.74
2001-08-02,15.29,15.31,14.56,14.91,354490,5255733.81
2001-08-03,14.8,14.97,14.72,14.79,234915,3480262.68
2001-08-06,14.85,14.85,13.78,14,692908,9795126.66
2001-08-07,13.8,14.7,13.5,14.25,592103,8291726.61
2001-08-08,14.28,14.4,13.91,14.05,274598,3875713.83
2001-08-09,14.05,14.22,13.98,14.18,242758,3431856.81
2001-08-10,14.22,14.52,14.2,14.36,459385,6608537.92
2001-08-13,14.22,14.64,14.22,14.54,371025,5387919.72
2001-08-14,14.5,14.59,13.85,14.19,366035,5211160.44
2001-08-15,14.18,14.45,14,14.33,172776,2463693.96
2001-08-16,14.35,14.49,14.11,14.12,207968,2953142.58
2001-08-17,14,14.13,13.98,14.07,261309,3668734.31
2001-08-20,14.08,14.19,14,14.12,134326,1895976.22
2001-08-21,14.12,14.4,14.12,14.21,175360,2506789.79
2001-08-22,14.13,14.13,13.7,14.08,85366,1189725.36
2001-08-23,14,14,13.8,13.97,224577,3127015.84
2001-08-24,13.99,14.18,13.5,13.91,155888,2172012.36
2001-08-27,13.85,13.85,13.4,13.4,442104,5981730.09
2001-08-28,13.2,13.2,12.2,13.02,818611,10377320.08
2001-08-29,13.08,13.7,12.8,13.15,956312,12778241
2001-08-30,13.1,13.2,12.96,13,259294,3384437.07
2001-08-31,13.01,13.17,12.95,12.99,228050,2963185.74
2001-09-03,12.94,12.99,12.75,12.88,239392,3078622.83
2001-09-04,12.85,13.49,12.8,13.48,585235,7814093.4
2001-09-05,13.65,13.88,13.5,13.52,728909,9974433.91
2001-09-06,13.52,13.62,13.3,13.38,210427,2830497.16
2001-09-07,13.4,13.45,12.92,12.97,362660,4737658.53
2001-09-10,12.64,13.68,12.55,13.46,459940,6077985.99
2001-09-11,13.5,13.57,13.29,13.38,376149,5054511.05
2001-09-12,12.98,13.22,12.85,13.19,690319,8994746.82
2001-09-13,13.19,13.38,13,13.01,219206,2886530.4
2001-09-14,13.1,13.25,12.4,12.9,333040,4293036
2001-09-17,12.9,12.9,12.61,12.66,292323,3716364.67
2001-09-18,12.85,12.98,12.7,12.9,192769,2470795.76
2001-09-19,12.9,13.32,12.72,13.26,286278,3742464.47
2001-09-20,13.3,13.4,13,13.01,248769,3287904.94
2001-09-21,12.95,13.18,12.95,13.01,217367,2834782.8
2001-09-24,13.01,13.2,13,13.1,168714,2212918.47
2001-09-25,13.2,13.4,13.05,13.23,233646,3088683.34
2001-09-26,13.23,13.23,13,13.01,189935,2479209.1
2001-09-27,13,13.19,12.75,12.95,211873,2741928.66
2001-09-28,12.96,13.16,12.9,13,171973,2235783.31
2001-10-08,12.99,13,12.44,12.45,410800,5170887.88
2001-10-09,12.4,12.75,12.3,12.57,186523,2344491.41
2001-10-10,12.5,12.57,12.05,12.06,402478,4905852.3
2001-10-11,12.11,12.25,11.65,11.68,437080,5173304.03
2001-10-12,11.7,12.5,11.46,12.21,515952,6151448.62
2001-10-15,12.2,12.45,12.01,12.27,394683,4817074.32
2001-10-16,12.35,12.35,11.93,12.03,203685,2455154.28
2001-10-17,11.9,12.29,11.8,11.99,173037,2084804.96
2001-10-18,12.1,12.18,11.78,11.8,239954,2858768.38
2001-10-19,11.83,11.9,11.46,11.6,452342,5256416.82
2001-10-22,11.6,11.6,11.2,11.21,328365,3749688.85
2001-10-23,12.33,12.33,12.03,12.33,952555,11684111.59
2001-10-24,12.99,13.15,12.61,12.82,1774869,22877404.88
2001-10-25,12.8,13.3,12.33,13.01,1361051,17532357.79
2001-10-26,12.8,13,12.6,12.72,457128,5833326.83
2001-10-29,12.72,13.1,12.72,12.9,364633,4712667.41
2001-10-30,12.9,12.9,12.9,12.9,0,0
2001-10-31,12.7,12.7,12.38,12.58,355482,4434769.34
2001-11-01,12.6,12.86,12.6,12.75,270063,3437023.39
2001-11-02,12.67,12.73,12.48,12.5,253147,3178859.67
2001-11-05,12.48,12.48,12.2,12.27,227340,2794968.9
2001-11-06,12.22,12.3,12.2,12.25,140120,1717893.73
2001-11-07,12.26,12.26,11.58,11.68,520639,6127872.18
2001-11-08,11.51,11.95,11.4,11.75,268459,3133349.37
2001-11-09,11.7,12,11.6,11.85,285506,3376498.86
2001-11-12,11.7,11.95,11.65,11.69,144285,1697683.35
2001-11-13,11.5,11.78,11.5,11.63,134952,1568874.34
2001-11-14,11.7,11.78,11.6,11.62,142447,1661552.2
2001-11-15,11.62,11.62,11.52,11.6,147156,1701740.51
2001-11-16,12.76,12.76,11.7,11.83,655523,7916489.24
2001-11-19,11.63,11.93,11.63,11.86,185449,2187912.67
2001-11-20,12,12.28,11.87,12.17,418143,5083943.61
2001-11-21,12.22,12.26,12.1,12.23,278729,3390702.37
2001-11-22,12.2,12.5,12.2,12.45,384069,4759798.71
2001-11-23,12.4,12.48,12.23,12.27,290410,3578529.12
2001-11-26,12.28,12.33,12.04,12.07,254168,3076264.43
2001-11-27,12.14,12.33,12.1,12.31,261033,3203847.51
2001-11-28,12.39,12.83,12.38,12.68,1047608,13241585.07
2001-11-29,12.75,12.82,12.55,12.62,659547,8384097.65
2001-11-30,12.61,12.73,12.58,12.65,318432,4027334.23
2001-12-03,12.68,12.9,12.68,12.75,361908,4632089.21
2001-12-04,12.75,12.8,12.55,12.8,433613,5482129.38
2001-12-05,12.85,12.85,12.47,12.49,478430,6057917.1
2001-12-06,12.45,12.69,12.39,12.58,428414,5364293.09
2001-12-07,12.72,13.18,12.6,13.01,1374451,17825947.22
