date,open,high,close,low,volume,amount
2016-06-27,12.5,12.94,12.89,12.45,14863546.0,190144294.0
2016-06-24,12.95,13.06,12.62,12.14,17796033.0,226181221.0
2016-06-23,13.15,13.22,12.97,12.81,14638381.0,190258332.0
2016-06-22,13.0,13.17,13.16,12.76,14647662.0,190143240.0
2016-06-21,13.02,13.35,13.06,12.84,30487824.0,401420189.0
2016-06-20,12.97,13.05,12.8,12.62,13686133.0,174867628.0
2016-06-17,12.75,13.16,12.93,12.73,16054956.0,208234131.0
2016-06-16,12.89,13.0,12.73,12.66,14963012.0,191678699.0
2016-06-15,12.4,13.08,12.93,12.4,19846773.0,254950841.0
2016-06-14,12.53,12.85,12.61,12.41,16776546.0,211780379.0
2016-06-13,13.4,13.74,12.7,12.7,24737386.0,331345378.0
2016-06-08,13.47,13.65,13.57,13.21,24407350.0,326916239.0
2016-06-07,13.82,13.88,13.68,13.53,19540600.0,268511577.0
2016-06-06,13.82,14.4,13.86,13.74,33570662.0,474000869.0
2016-06-03,13.72,13.83,13.64,13.58,20472777.0,282041667.0
2016-06-02,13.71,13.83,13.79,13.55,25206155.0,346936954.0
2016-06-01,13.52,14.15,13.83,13.43,44677905.0,619018886.0
2016-05-31,12.76,13.58,13.53,12.76,34114211.0,457714131.0
2016-05-30,13.18,13.22,12.88,12.83,18806189.0,246235730.0
2016-05-27,12.93,13.39,13.32,12.83,28712978.0,381150765.0
2016-05-26,12.98,13.19,13.0,12.48,19434093.0,249963089.0
2016-05-25,13.21,13.31,13.05,12.93,18843504.0,248739208.0
2016-05-24,13.33,13.39,13.1,12.9,23796409.0,313288088.0
2016-05-23,13.6,13.7,13.42,13.3,32851767.0,445807141.0
2016-05-20,12.92,13.67,13.5,12.85,41057686.0,551209116.0
2016-05-19,12.55,13.51,13.26,12.45,40335590.0,527688678.0
2016-05-18,13.38,13.7,12.95,12.43,52534151.0,697705790.0
2016-05-17,12.43,13.34,12.93,12.25,30651462.0,395816134.0
2016-05-16,12.17,12.67,12.59,11.88,20668956.0,255951736.0
2016-05-13,11.99,12.36,12.35,11.93,18512710.0,226915631.0
2016-05-12,11.93,12.39,11.98,11.54,22816551.0,273608565.0
2016-05-11,12.15,12.71,12.3,11.85,24131679.0,298229941.0
2016-05-10,11.83,12.23,12.08,11.83,12168982.0,147775008.0
2016-05-09,12.15,12.26,11.98,11.85,19873262.0,240943984.0
2016-05-06,13.28,13.41,12.48,12.36,36636704.0,478406912.0
2016-05-05,13.84,13.85,13.46,13.27,52924632.0,718882304.0
2016-05-04,13.72,13.87,13.82,13.54,32140844.0,442959296.0
2016-05-03,13.51,13.91,13.81,13.28,48540936.0,665906752.0
2016-04-29,12.11,13.44,13.44,12.06,38139036.0,497395904.0
2016-04-28,12.17,12.28,12.21,11.83,9394664.0,113844256.0
2016-04-27,12.17,12.33,12.08,12.06,8464690.0,103737424.0
2016-04-26,11.93,12.27,12.27,11.93,10936060.0,132837664.0
2016-04-25,12.12,12.12,11.94,11.79,6923357.0,83142648.0
2016-04-22,11.93,12.13,12.13,11.78,8308127.0,100153496.0
2016-04-21,12.08,12.27,11.97,11.91,9222187.0,112540904.0
2016-04-20,12.73,12.76,12.16,11.8,17918810.0,220963648.0
2016-04-19,12.56,12.83,12.76,12.5,13190812.0,168099840.0
2016-04-18,13.02,13.02,12.5,12.43,17310656.0,219322816.0
2016-04-15,13.21,13.24,13.03,12.96,13562932.0,178122752.0
2016-04-14,12.97,13.18,13.16,12.92,15315994.0,201039600.0
2016-04-13,12.89,13.19,12.86,12.83,18148208.0,238214448.0
2016-04-12,13.11,13.26,12.77,12.61,15714254.0,203578592.0
2016-04-11,12.99,13.24,13.03,12.93,17261108.0,226393792.0
2016-04-08,13.16,13.22,13.0,12.38,24407592.0,314380192.0
2016-04-07,13.72,13.72,13.34,13.33,11869240.0,160842672.0
2016-04-06,13.53,13.87,13.72,13.33,18956640.0,258943392.0
2016-04-05,13.4,13.91,13.7,13.18,20060908.0,274638912.0
2016-04-01,13.92,13.95,13.53,12.85,28358684.0,381123104.0
2016-03-31,13.6,14.4,14.03,13.49,31067372.0,435252384.0
2016-03-30,13.42,13.77,13.54,13.23,27405112.0,372540768.0
2016-03-29,13.65,13.69,13.14,12.93,34607148.0,463726592.0
2016-03-28,14.52,14.52,13.77,13.49,77737872.0,1095806592.0
2016-03-25,12.23,13.26,13.26,12.23,42609588.0,564837376.0
2016-03-24,11.84,12.28,12.05,11.67,28981584.0,351606368.0
2016-03-23,11.84,11.99,11.96,11.74,17430620.0,208083824.0
2016-03-22,11.54,12.18,11.96,11.45,35034432.0,417553184.0
2016-03-21,11.33,11.82,11.75,11.24,25672346.0,297049408.0
2016-03-18,10.82,11.31,11.23,10.82,18714172.0,208997120.0
2016-03-17,10.49,10.84,10.8,10.43,11628769.0,124940168.0
2016-03-16,10.67,10.75,10.39,10.32,7332372.0,77670352.0
2016-03-15,10.54,10.8,10.62,10.49,6742640.0,72091992.0
2016-03-14,10.4,10.89,10.77,10.37,10527870.0,113375312.0
2016-03-11,10.23,10.4,10.29,10.1,6011143.0,62046172.0
2016-03-10,10.62,10.75,10.33,10.25,7450933.0,79117016.0
2016-03-09,10.55,10.87,10.6,10.52,8710084.0,93405304.0
2016-03-08,10.99,10.99,10.93,10.58,13537835.0,146784704.0
2016-03-07,10.45,11.04,11.04,10.45,13800658.0,149674848.0
2016-03-04,10.72,11.01,10.39,10.04,14156832.0,151362736.0
2016-03-03,10.71,11.04,10.74,10.6,14817386.0,160949088.0
