date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-05-27,31.51,36.19,32.82,27.85,808535.31,1.07,3.37,29.172,29.343,34.926,841734.85,845086.27,683883.62,50.02
2016-04-29,33.15,38.53,31.75,29.81,909831.75,-1.62,-4.86,30.318,28.491,35.275,888749.25,869333.37,657558.8,56.31
2016-03-31,24.4,37.7,33.37,23.0,1118803.0,8.9,36.37,32.768,28.486,35.625,993608.48,838500.59,632843.49,74.16
2016-02-29,23.88,32.8,24.47,23.33,592156.94,1.02,4.35,31.12,31.401,35.545,908997.08,803811.84,596851.65,39.25
2016-01-29,38.15,38.54,23.45,22.0,779347.25,-15.1,-39.17,30.684,33.887,35.909,891299.52,815566.62,585711.24,51.66
2015-12-31,43.35,46.4,38.55,37.76,1043607.31,-5.45,-12.39,29.514,36.592,36.372,848437.69,797025.05,559852.53,69.18
2015-11-30,24.17,50.0,44.0,23.4,1434127.88,18.87,75.09,26.664,37.337,35.758,849917.48,724124.52,514515.46,94.59
2015-10-30,22.83,27.87,25.13,22.78,695746.0,2.84,12.74,24.204,36.542,35.043,683392.71,604881.94,450024.44,45.89
2015-09-30,17.27,25.0,22.29,14.69,503669.16,4.69,26.65,31.682,37.035,35.497,698626.61,571268.52,430066.19,33.22
2015-08-31,23.97,29.48,17.6,16.2,565038.12,-6.7,-27.57,37.09,38.691,36.366,739833.71,553725.5,422522.78,37.27
2015-07-31,32.2,34.0,24.3,16.85,1051006.25,-7.4,-23.34,43.67,40.508,37.539,745612.4,522680.97,429479.91,69.32
2015-06-30,64.3,80.39,31.7,26.97,601504.0,-30.82,-49.3,48.01,42.058,38.586,598331.56,445784.24,395876.16,39.9
2015-05-29,49.28,68.84,62.52,44.85,771915.5,13.19,26.74,48.88,42.764,38.461,526371.18,427186.4,385705.0,81.92
2015-04-30,51.0,57.05,49.33,45.0,709704.69,-1.17,-2.32,42.388,39.689,36.895,443910.43,389891.45,389873.75,75.32
2015-03-31,46.06,53.48,50.5,41.54,593931.56,4.5,9.78,40.292,37.931,35.442,367617.28,355855.86,424424.34,63.03
2015-02-27,35.2,49.36,46.0,33.81,314602.06,9.95,27.6,37.346,36.151,33.657,299749.55,322680.01,398762.43,33.39
2015-01-30,29.5,37.6,36.05,27.58,241702.08,5.99,19.93,36.106,34.179,32.058,293236.92,304906.39,385412.92,25.65
2014-12-31,38.06,38.9,30.06,28.86,359611.75,-8.79,-22.62,36.648,33.544,31.032,328001.61,295166.94,388461.02,38.16
