date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-12-31,5.03,5.05,4.96,4.9,4500057.0,-0.07,-1.39,4.972,5.037,5.037,6768045.4,8650133.6,9627825.7,0.47
2015-12-25,4.98,5.1,5.03,4.94,7770933.0,0.02,0.4,4.96,5.054,5.093,7509807.0,9234685.9,10145197.55,0.81
2015-12-18,4.8,5.08,5.01,4.77,7409281.0,0.18,3.73,4.986,5.071,5.134,7730108.2,9503909.2,10388978.65,0.78
2015-12-11,5.02,5.05,4.83,4.78,5158528.0,-0.2,-3.98,5.018,5.073,5.183,8841598.6,9219011.2,11028219.0,0.54
2015-12-04,4.91,5.23,5.03,4.82,9001428.0,0.13,2.65,5.104,5.064,5.292,10739202.6,8992689.55,12005850.7,0.94
2015-11-27,5.16,5.21,4.9,4.88,8208865.0,-0.26,-5.04,5.102,5.048,5.395,10532221.8,8750162.3,13595321.5,0.86
2015-11-20,5.09,5.35,5.16,5.08,8872439.0,-0.01,-0.19,5.148,5.053,5.517,10959564.8,9052151.2,16725531.05,0.93
2015-11-13,5.23,5.46,5.17,5.16,12966733.0,-0.09,-1.71,5.156,5.04,5.597,11277710.2,9402879.7,18183018.5,1.36
2015-11-06,5.0,5.39,5.26,4.9,14646548.0,0.24,4.78,5.128,5.013,5.671,9596423.8,9152777.2,18705278.95,1.53
2015-10-30,5.16,5.18,5.02,4.99,7966524.0,-0.11,-2.14,5.024,4.99,5.75,7246176.5,9841556.4,19277863.45,0.83
2015-10-23,5.21,5.24,5.13,5.0,10345580.0,-0.07,-1.35,4.994,5.037,5.894,6968102.8,10605517.8,20903217.85,1.08
2015-10-16,5.03,5.23,5.2,5.0,10463166.0,0.17,3.38,4.958,5.131,6.026,7144737.6,11055709.2,22063108.05,1.09
2015-10-09,4.99,5.04,5.03,4.89,4560301.0,0.29,6.12,4.924,5.196,6.127,7528049.2,11274048.1,24146636.15,0.48
2015-09-30,4.83,4.85,4.74,4.7,2895311.5,-0.13,-2.67,4.898,5.293,6.257,8709130.6,12837426.8,25991840.9,0.3
2015-09-25,4.92,5.07,4.87,4.81,6576155.5,-0.08,-1.62,4.956,5.519,6.386,12436936.3,15019011.85,28244454.93,0.69
2015-09-18,5.05,5.09,4.95,4.78,11228754.0,-0.08,-1.59,5.08,5.741,6.521,14242932.8,18440480.7,30865984.35,1.18
2015-09-11,4.95,5.22,5.03,4.85,12379724.0,0.13,2.65,5.304,5.981,6.68,14966680.8,24398910.9,35558558.25,1.3
2015-09-02,5.0,5.15,4.9,4.8,10465708.0,-0.13,-2.58,5.468,6.153,6.817,15020047.0,26963157.3,39171472.05,1.1
2015-08-28,5.39,5.55,5.03,4.37,21534340.0,-0.46,-8.38,5.688,6.328,6.939,16965723.0,28257780.7,42647142.65,2.25
2015-08-21,6.06,6.13,5.49,5.45,15606138.0,-0.58,-9.55,6.082,6.51,7.023,17601087.4,28714170.5,44430808.05,1.63
2015-08-14,5.87,6.21,6.07,5.86,14847494.0,0.22,3.76,6.402,6.751,7.071,22638028.6,31200917.9,46373497.35,1.55
2015-08-07,5.95,5.95,5.85,5.66,12646555.0,-0.15,-2.5,6.658,6.921,7.086,33831141.0,33070506.9,48783048.65,1.32
2015-07-31,6.9,6.97,6.0,5.91,20194088.0,-1.0,-14.29,6.838,7.057,7.114,38906267.6,37019224.2,50744648.9,2.11
