date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-06-28 14:00:00,4.61,4.62,4.6,4.6,73586.1,-0.01,-0.22,4.608,4.609,4.6575,102444.0,137771.0,130775.0,0.01
2016-06-28 11:30:00,4.6,4.61,4.61,4.59,46829.0,0.01,0.22,4.612,4.613,4.6625,98306.4,147855.0,129721.0,0.0
2016-06-28 10:30:00,4.6,4.61,4.6,4.59,94076.4,0.0,0.0,4.612,4.622,4.668,123208.0,157842.0,132148.0,0.01
2016-06-27 15:00:00,4.62,4.62,4.62,4.6,181556.0,0.0,0.0,4.614,4.632,4.6745,136188.0,154068.0,139659.0,0.02
2016-06-27 14:00:00,4.61,4.62,4.61,4.6,116172.0,0.0,0.0,4.61,4.64,4.6785,155826.0,148440.0,138944.0,0.01
2016-06-27 11:30:00,4.61,4.62,4.62,4.6,52898.7,0.01,0.22,4.61,4.651,4.6825,173098.0,148763.0,135426.0,0.01
2016-06-27 10:30:00,4.6,4.63,4.61,4.58,171337.0,0.01,0.22,4.614,4.662,4.6855,197403.0,158837.0,136893.0,0.02
2016-06-24 15:00:00,4.61,4.63,4.61,4.58,158974.0,0.0,0.0,4.632,4.673,4.689,192476.0,147903.0,134413.0,0.02
2016-06-24 14:00:00,4.61,4.64,4.6,4.53,279751.0,-0.01,-0.22,4.65,4.685,4.6935,171948.0,147050.0,131494.0,0.03
2016-06-24 11:30:00,4.64,4.65,4.61,4.6,202531.0,-0.03,-0.65,4.67,4.696,4.698,141053.0,127984.0,121624.0,0.02
2016-06-24 10:30:00,4.65,4.68,4.64,4.64,174421.0,-0.01,-0.22,4.692,4.706,4.703,124427.0,123779.0,116701.0,0.02
2016-06-23 15:00:00,4.71,4.71,4.7,4.69,146702.0,-0.01,-0.21,4.71,4.712,4.706,120272.0,111588.0,115501.0,0.02
